Module_id,Module_name,Sample,present_KOs,required_KOs,missing_KOs,KEMET_style_status_3state
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Hydrotherm Fe rich 3300023548,24,29,5,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Metatransc of freshwater 3300061576,17,29,12,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300038486,15,29,14,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater sediment microbial 3300031587,23,29,6,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid Mine Drainage 3300005360,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300008723,12,29,17,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300038493,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater sediment microbial 3300036045,26,29,3,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Metatransc of lab 3300046013,19,29,10,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300038729,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300030413,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Lab enriched acid 3300038412,24,29,5,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater sediment microbial 3300031806,24,29,5,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Metatransc of lab 3300055057,14,29,15,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Hydrotherm Fe rich 3300023440,25,29,4,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Lab enriched sediment 3300039028,18,29,11,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300008566,13,29,16,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater microbial communitie 3300024341,27,29,2,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater sediment microbial 3300021517,25,29,4,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Metatransc of lab 3300055062,19,29,10,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Hydrotherm Fe rich 3300023442,25,29,4,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater sediment microbial 3300036046,25,29,4,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Hydrotherm Fe rich 3300023313,22,29,7,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300039211,15,29,14,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300008721,12,29,17,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Pink biofilm microbial 3300003104,15,29,14,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300038681,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300030228,17,29,12,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Metatransc of lab 3300055069,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid Mine Drainage 2010484004,13,29,16,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Hydrotherm Fe rich 3300023307,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater sediment microbial 3300031876,24,29,5,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater microbial communitie 3300023177,27,29,2,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Biofilm microbial communitie 3300021476,22,29,7,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid Mine Drainage 3300003083,11,29,18,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Hydrotherm Fe rich 3300023444,26,29,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300038494,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Lab enriched acid 3300038413,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300008567,5,12,7,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300030091,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Hydrotherm Fe rich 3300023310,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Metatransc of lab 3300046014,8,12,4,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Metatransc of lab 3300055056,8,12,4,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater sediment microbial 3300010391,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater sediment microbial 3300031898,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater microbial communitie 3300024300,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Metatransc of lab 3300055061,8,12,4,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Hydrotherm Fe rich 3300023368,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300038487,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater sediment microbial 3300031593,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300030082,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater sediment microbial 3300031604,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater sediment microbial 3300021518,10,12,2,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300030398,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300030242,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Hydrotherm Fe rich 3300023439,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater microbial communitie 3300024333,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Lab enriched sediment 3300039027,8,12,4,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300039205,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater microbial communitie 3300043827,10,12,2,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Lab enriched acid 3300038471,10,12,2,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300030335,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater microbial communitie 3300028737,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Lab enriched acid 3300038411,10,12,2,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater sediment microbial 3300031877,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300038731,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300038979,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Hydrotherm Fe rich 3300023548,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Metatransc of freshwater 3300061576,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300038486,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater sediment microbial 3300031587,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Acid Mine Drainage 3300005360,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300008723,8,12,4,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300038493,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater sediment microbial 3300036045,10,12,2,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Metatransc of lab 3300046013,10,12,2,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300038729,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300030413,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Lab enriched acid 3300038412,10,12,2,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater sediment microbial 3300031806,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Metatransc of lab 3300055057,8,12,4,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Hydrotherm Fe rich 3300023440,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Lab enriched sediment 3300039028,10,12,2,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300008566,8,12,4,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater microbial communitie 3300024341,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater sediment microbial 3300021517,10,12,2,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Metatransc of lab 3300055062,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Hydrotherm Fe rich 3300023442,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater sediment microbial 3300036046,10,12,2,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Hydrotherm Fe rich 3300023313,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300039211,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300008721,8,12,4,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Pink biofilm microbial 3300003104,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300038681,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid mine drainage 3300030228,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Metatransc of lab 3300055069,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid Mine Drainage 2010484004,7,12,5,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Hydrotherm Fe rich 3300023307,9,12,3,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater sediment microbial 3300031876,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Freshwater microbial communitie 3300023177,11,12,1,1 block missing
M00002,"Glycolysis, core module involving three-carbon compounds",Biofilm microbial communitie 3300021476,10,12,2,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Acid Mine Drainage 3300003083,7,12,5,Incomplete
M00002,"Glycolysis, core module involving three-carbon compounds",Hydrotherm Fe rich 3300023444,11,12,1,1 block missing
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300038494,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Lab enriched acid 3300038413,20,20,0,Complete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300008567,6,20,14,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300030091,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Hydrotherm Fe rich 3300023310,17,20,3,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Metatransc of lab 3300046014,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Metatransc of lab 3300055056,13,20,7,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater sediment microbial 3300010391,20,20,0,Complete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater sediment microbial 3300031898,18,20,2,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater microbial communitie 3300024300,19,20,1,1 block missing
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Metatransc of lab 3300055061,10,20,10,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Hydrotherm Fe rich 3300023368,18,20,2,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300038487,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater sediment microbial 3300031593,17,20,3,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300030082,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater sediment microbial 3300031604,16,20,4,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater sediment microbial 3300021518,19,20,1,1 block missing
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300030398,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300030242,14,20,6,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Hydrotherm Fe rich 3300023439,18,20,2,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater microbial communitie 3300024333,20,20,0,Complete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Lab enriched sediment 3300039027,16,20,4,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300039205,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater microbial communitie 3300043827,19,20,1,1 block missing
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Lab enriched acid 3300038471,20,20,0,Complete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300030335,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater microbial communitie 3300028737,19,20,1,1 block missing
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Lab enriched acid 3300038411,20,20,0,Complete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater sediment microbial 3300031877,17,20,3,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300038731,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300038979,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Hydrotherm Fe rich 3300023548,18,20,2,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Metatransc of freshwater 3300061576,17,20,3,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300038486,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater sediment microbial 3300031587,17,20,3,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid Mine Drainage 3300005360,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300008723,9,20,11,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300038493,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater sediment microbial 3300036045,20,20,0,Complete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Metatransc of lab 3300046013,19,20,1,1 block missing
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300038729,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300030413,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Lab enriched acid 3300038412,20,20,0,Complete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater sediment microbial 3300031806,17,20,3,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Metatransc of lab 3300055057,13,20,7,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Hydrotherm Fe rich 3300023440,18,20,2,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Lab enriched sediment 3300039028,17,20,3,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300008566,11,20,9,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater microbial communitie 3300024341,19,20,1,1 block missing
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater sediment microbial 3300021517,19,20,1,1 block missing
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Metatransc of lab 3300055062,16,20,4,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Hydrotherm Fe rich 3300023442,18,20,2,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater sediment microbial 3300036046,20,20,0,Complete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Hydrotherm Fe rich 3300023313,18,20,2,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300039211,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300008721,9,20,11,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Pink biofilm microbial 3300003104,13,20,7,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300038681,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid mine drainage 3300030228,12,20,8,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Metatransc of lab 3300055069,14,20,6,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid Mine Drainage 2010484004,10,20,10,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Hydrotherm Fe rich 3300023307,13,20,7,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater sediment microbial 3300031876,18,20,2,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Freshwater microbial communitie 3300023177,20,20,0,Complete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Biofilm microbial communitie 3300021476,20,20,0,Complete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid Mine Drainage 3300003083,9,20,11,Incomplete
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Hydrotherm Fe rich 3300023444,19,20,1,1 block missing
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300038494,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Lab enriched acid 3300038413,14,15,1,1 block missing
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300008567,5,15,10,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300030091,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Hydrotherm Fe rich 3300023310,13,15,2,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Metatransc of lab 3300046014,8,15,7,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Metatransc of lab 3300055056,4,15,11,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Freshwater sediment microbial 3300010391,15,15,0,Complete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Freshwater sediment microbial 3300031898,14,15,1,1 block missing
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Freshwater microbial communitie 3300024300,15,15,0,Complete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Metatransc of lab 3300055061,5,15,10,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Hydrotherm Fe rich 3300023368,13,15,2,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300038487,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Freshwater sediment microbial 3300031593,14,15,1,1 block missing
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300030082,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Freshwater sediment microbial 3300031604,14,15,1,1 block missing
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Freshwater sediment microbial 3300021518,14,15,1,1 block missing
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300030398,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300030242,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Hydrotherm Fe rich 3300023439,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Freshwater microbial communitie 3300024333,15,15,0,Complete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Lab enriched sediment 3300039027,11,15,4,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300039205,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Freshwater microbial communitie 3300043827,13,15,2,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Lab enriched acid 3300038471,13,15,2,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300030335,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Freshwater microbial communitie 3300028737,15,15,0,Complete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Lab enriched acid 3300038411,14,15,1,1 block missing
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Freshwater sediment microbial 3300031877,14,15,1,1 block missing
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300038731,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300038979,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Hydrotherm Fe rich 3300023548,13,15,2,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Metatransc of freshwater 3300061576,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300038486,10,15,5,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Freshwater sediment microbial 3300031587,14,15,1,1 block missing
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid Mine Drainage 3300005360,11,15,4,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300008723,8,15,7,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300038493,12,15,3,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Freshwater sediment microbial 3300036045,14,15,1,1 block missing
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Metatransc of lab 3300046013,11,15,4,Incomplete
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid mine drainage 3300038729,12,15,3,Incomplete
