Dataset,Module,Module_id,Module_name,Sample,Status,Completeness_score
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.1,INCOMPLETE,0.3
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.12,1 BLOCK MISSING,0.9
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.13,2 BLOCKS MISSING,0.8
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.14,INCOMPLETE,0.6
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.15,INCOMPLETE,0.7
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.16,INCOMPLETE,0.4
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.17,INCOMPLETE,0.3
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.18,INCOMPLETE,0.7
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.19,INCOMPLETE,0.5
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.20,INCOMPLETE,0.7
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.21,INCOMPLETE,0.6
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.22,INCOMPLETE,0.6
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.24,INCOMPLETE,0.1
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.25,INCOMPLETE,0.5
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.26,2 BLOCKS MISSING,0.8
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.27,INCOMPLETE,0.5
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.28,INCOMPLETE,0.3
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.29,INCOMPLETE,0.4
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.30,INCOMPLETE,0.6
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.31,INCOMPLETE,0.4
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.32,INCOMPLETE,0.5
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.33,INCOMPLETE,0.6
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.34,1 BLOCK MISSING,0.9
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.35,2 BLOCKS MISSING,0.8
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.36,INCOMPLETE,0.5
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.37,INCOMPLETE,0.5
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.38,2 BLOCKS MISSING,0.8
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.39,INCOMPLETE,0.4
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.40,INCOMPLETE,0.7
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.41,2 BLOCKS MISSING,0.8
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.42,INCOMPLETE,0.4
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.43,INCOMPLETE,0.7
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.44,INCOMPLETE,0.3
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.45,INCOMPLETE,0.6
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.46,INCOMPLETE,0.6
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.47,INCOMPLETE,0.5
mags,"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",MAG.48,INCOMPLETE,0.0
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.1,INCOMPLETE,0.5
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.2,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.3,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.4,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.5,INCOMPLETE,0.33333333333333337
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.6,COMPLETE,1.0
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.7,1 BLOCK MISSING,0.8333333333333333
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.8,1 BLOCK MISSING,0.8333333333333333
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.9,COMPLETE,1.0
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.10,1 BLOCK MISSING,0.8333333333333333
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.11,INCOMPLETE,0.5
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.12,COMPLETE,1.0
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.13,COMPLETE,1.0
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.14,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.15,COMPLETE,1.0
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.16,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.17,INCOMPLETE,0.33333333333333337
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.18,COMPLETE,1.0
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.19,1 BLOCK MISSING,0.8333333333333333
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.20,1 BLOCK MISSING,0.8333333333333333
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.21,1 BLOCK MISSING,0.8333333333333333
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.22,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.24,INCOMPLETE,0.16666666666666669
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.25,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.26,1 BLOCK MISSING,0.8333333333333333
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.27,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.28,INCOMPLETE,0.5
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.29,INCOMPLETE,0.33333333333333337
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.30,1 BLOCK MISSING,0.8333333333333333
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.31,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.32,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.33,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.34,COMPLETE,1.0
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.35,COMPLETE,1.0
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.36,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.37,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.38,COMPLETE,1.0
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.39,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.40,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.41,1 BLOCK MISSING,0.8333333333333333
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.42,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.43,COMPLETE,1.0
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.44,INCOMPLETE,0.33333333333333337
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.45,1 BLOCK MISSING,0.8333333333333333
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.46,1 BLOCK MISSING,0.8333333333333333
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.47,2 BLOCKS MISSING,0.6666666666666667
mags,"M00002 | Glycolysis, core module involving three-carbon compounds",M00002,"Glycolysis, core module involving three-carbon compounds",MAG.48,INCOMPLETE,0.0
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.1,INCOMPLETE,0.375
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.2,INCOMPLETE,0.5
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.3,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.4,INCOMPLETE,0.625
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.5,INCOMPLETE,0.5
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.6,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.7,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.8,COMPLETE,1.0
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.9,COMPLETE,1.0
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.10,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.11,INCOMPLETE,0.375
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.12,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.13,COMPLETE,1.0
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.14,INCOMPLETE,0.625
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.15,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.16,INCOMPLETE,0.625
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.17,INCOMPLETE,0.5
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.18,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.19,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.20,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.21,2 BLOCKS MISSING,0.75
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.22,2 BLOCKS MISSING,0.75
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.24,INCOMPLETE,0.375
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.25,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.26,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.27,INCOMPLETE,0.5
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.28,INCOMPLETE,0.5
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.29,INCOMPLETE,0.375
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.30,2 BLOCKS MISSING,0.75
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.31,2 BLOCKS MISSING,0.75
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.32,2 BLOCKS MISSING,0.75
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.33,2 BLOCKS MISSING,0.75
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.34,COMPLETE,1.0
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.35,COMPLETE,1.0
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.36,INCOMPLETE,0.625
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.37,2 BLOCKS MISSING,0.75
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.38,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.39,2 BLOCKS MISSING,0.75
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.40,INCOMPLETE,0.625
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.41,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.42,INCOMPLETE,0.375
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.43,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.44,INCOMPLETE,0.25
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.45,COMPLETE,1.0
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.46,1 BLOCK MISSING,0.875
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.47,INCOMPLETE,0.625
mags,"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",MAG.48,INCOMPLETE,0.0
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.1,INCOMPLETE,0.125
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.2,INCOMPLETE,0.125
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.3,INCOMPLETE,0.5
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.4,INCOMPLETE,0.5
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.5,INCOMPLETE,0.0
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.6,INCOMPLETE,0.5
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.7,INCOMPLETE,0.125
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.8,1 BLOCK MISSING,0.875
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.9,INCOMPLETE,0.625
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.10,INCOMPLETE,0.125
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.11,INCOMPLETE,0.125
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.12,INCOMPLETE,0.5
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.13,COMPLETE,1.0
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.14,1 BLOCK MISSING,0.875
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.15,COMPLETE,1.0
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.16,INCOMPLETE,0.0
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.17,INCOMPLETE,0.375
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.18,INCOMPLETE,0.5
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.19,INCOMPLETE,0.5
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.20,INCOMPLETE,0.125
mags,M00004 | Pentose phosphate pathway (Pentose phosphate cycle),M00004,Pentose phosphate pathway (Pentose phosphate cycle),MAG.21,INCOMPLETE,0.0
