bin_number,MAG,source_archive,index_html,json_file,antiSMASH_version,region_number_within_bin,contig_id,region_start,region_end,region_length_bp,products,categories,candidate_kinds,n_protoclusters_in_region,region_gbk_files
8,MAG.8,bin.8.orig.metawrap.zip,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/index.html,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/bin.8.orig.metawrap.json,8.0.4,5,NODE_12927_length_3913_cov_3.147486,0,3913,3914,terpene,terpene,single,1,NODE_12927_length_3913_cov_3.147486.region001.gbk
8,MAG.8,bin.8.orig.metawrap.zip,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/index.html,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/bin.8.orig.metawrap.json,8.0.4,6,NODE_13624_length_3808_cov_5.660538,0,3808,3809,triceptide,RiPP,single,1,NODE_13624_length_3808_cov_5.660538.region001.gbk
8,MAG.8,bin.8.orig.metawrap.zip,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/index.html,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/bin.8.orig.metawrap.json,8.0.4,7,NODE_17792_length_3325_cov_4.061468,0,3325,3326,RRE-containing,RiPP,single,1,NODE_17792_length_3325_cov_4.061468.region001.gbk
9,MAG.9,bin.9.zip,data/kegg_modules/mags/gbk_antismash/bin.9/index.html,data/kegg_modules/mags/gbk_antismash/bin.9/bin.9.json,8.0.4,1,NODE_280_length_21721_cov_6.557556,0,21721,21722,T3PKS,PKS,single,1,NODE_280_length_21721_cov_6.557556.region001.gbk
9,MAG.9,bin.9.zip,data/kegg_modules/mags/gbk_antismash/bin.9/index.html,data/kegg_modules/mags/gbk_antismash/bin.9/bin.9.json,8.0.4,2,NODE_383_length_18990_cov_6.541431,11541,18990,7450,RiPP-like,RiPP,single,1,NODE_383_length_18990_cov_6.541431.region001.gbk
9,MAG.9,bin.9.zip,data/kegg_modules/mags/gbk_antismash/bin.9/index.html,data/kegg_modules/mags/gbk_antismash/bin.9/bin.9.json,8.0.4,3,NODE_672_length_15314_cov_5.952290,0,15314,15315,NRPS-like,NRPS,single,1,NODE_672_length_15314_cov_5.952290.region001.gbk
9,MAG.9,bin.9.zip,data/kegg_modules/mags/gbk_antismash/bin.9/index.html,data/kegg_modules/mags/gbk_antismash/bin.9/bin.9.json,8.0.4,4,NODE_1182_length_12158_cov_6.294555,0,12158,12159,betalactone,other,single,1,NODE_1182_length_12158_cov_6.294555.region001.gbk
9,MAG.9,bin.9.zip,data/kegg_modules/mags/gbk_antismash/bin.9/index.html,data/kegg_modules/mags/gbk_antismash/bin.9/bin.9.json,8.0.4,5,NODE_1342_length_11568_cov_7.728655,0,11568,11569,betalactone,other,single,1,NODE_1342_length_11568_cov_7.728655.region001.gbk
9,MAG.9,bin.9.zip,data/kegg_modules/mags/gbk_antismash/bin.9/index.html,data/kegg_modules/mags/gbk_antismash/bin.9/bin.9.json,8.0.4,6,NODE_7853_length_5006_cov_6.094728,0,5006,5007,terpene-precursor,terpene,single,1,NODE_7853_length_5006_cov_6.094728.region001.gbk
9,MAG.9,bin.9.zip,data/kegg_modules/mags/gbk_antismash/bin.9/index.html,data/kegg_modules/mags/gbk_antismash/bin.9/bin.9.json,8.0.4,7,NODE_25366_length_2777_cov_3.578986,0,2777,2778,RiPP-like,RiPP,single,1,NODE_25366_length_2777_cov_3.578986.region001.gbk
10,MAG.10,bin.10.strict.metawrap.repaired (1).zip,data/kegg_modules/mags/gbk_antismash/bin.10.strict.metawrap.repaired_1/index.html,data/kegg_modules/mags/gbk_antismash/bin.10.strict.metawrap.repaired_1/bin.10.strict.metawrap.repaired.json,8.0.4,1,NODE_14_length_12249_cov_2.057838,0,12249,12250,terpene-precursor,terpene,single,1,NODE_14_length_12249_cov_2.057838.region001.gbk
10,MAG.10,bin.10.strict.metawrap.repaired (1).zip,data/kegg_modules/mags/gbk_antismash/bin.10.strict.metawrap.repaired_1/index.html,data/kegg_modules/mags/gbk_antismash/bin.10.strict.metawrap.repaired_1/bin.10.strict.metawrap.repaired.json,8.0.4,2,NODE_42_length_8987_cov_2.117396,0,8987,8988,terpene-precursor,terpene,single,1,NODE_42_length_8987_cov_2.117396.region001.gbk
10,MAG.10,bin.10.strict.metawrap.repaired (1).zip,data/kegg_modules/mags/gbk_antismash/bin.10.strict.metawrap.repaired_1/index.html,data/kegg_modules/mags/gbk_antismash/bin.10.strict.metawrap.repaired_1/bin.10.strict.metawrap.repaired.json,8.0.4,3,NODE_47_length_8459_cov_0.219242,0,8459,8460,RiPP-like,RiPP,single,1,NODE_47_length_8459_cov_0.219242.region001.gbk
10,MAG.10,bin.10.strict.metawrap.repaired (1).zip,data/kegg_modules/mags/gbk_antismash/bin.10.strict.metawrap.repaired_1/index.html,data/kegg_modules/mags/gbk_antismash/bin.10.strict.metawrap.repaired_1/bin.10.strict.metawrap.repaired.json,8.0.4,4,NODE_85_length_6182_cov_2.166421,0,6182,6183,terpene-precursor,terpene,single,1,NODE_85_length_6182_cov_2.166421.region001.gbk
11,MAG.11,bin.11.strict.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.11.strict.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.11.strict.metawrap.repaired/bin.11.strict.metawrap.repaired.json,8.0.4,1,NODE_124_length_3769_cov_1.109697,0,3769,3770,terpene,terpene,single,1,NODE_124_length_3769_cov_1.109697.region001.gbk
12,MAG.12,bin.12.orig.metawrap.zip,data/kegg_modules/mags/gbk_antismash/bin.12.orig.metawrap/index.html,data/kegg_modules/mags/gbk_antismash/bin.12.orig.metawrap/bin.12.orig.metawrap.json,8.0.4,1,NODE_2723_length_8326_cov_5.123322,0,8326,8327,terpene-precursor,terpene,single,1,NODE_2723_length_8326_cov_5.123322.region001.gbk
13,MAG.13,bin.13.strict.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.13.strict.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.13.strict.metawrap.repaired/bin.13.strict.metawrap.repaired.json,8.0.4,1,NODE_14_length_48778_cov_3.346523,23193,44544,21352,ranthipeptide; triceptide,RiPP,chemical_hybrid,2,NODE_14_length_48778_cov_3.346523.region001.gbk
13,MAG.13,bin.13.strict.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.13.strict.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.13.strict.metawrap.repaired/bin.13.strict.metawrap.repaired.json,8.0.4,2,NODE_23_length_36981_cov_3.405972,0,35278,35279,NRPS-like,NRPS,single,1,NODE_23_length_36981_cov_3.405972.region001.gbk
13,MAG.13,bin.13.strict.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.13.strict.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.13.strict.metawrap.repaired/bin.13.strict.metawrap.repaired.json,8.0.4,3,NODE_30_length_26596_cov_3.746257,0,16966,16967,RRE-containing,RiPP,single,1,NODE_30_length_26596_cov_3.746257.region001.gbk
13,MAG.13,bin.13.strict.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.13.strict.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.13.strict.metawrap.repaired/bin.13.strict.metawrap.repaired.json,8.0.4,4,NODE_34_length_24332_cov_2.737951,0,11309,11310,terpene,terpene,single,1,NODE_34_length_24332_cov_2.737951.region001.gbk
13,MAG.13,bin.13.strict.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.13.strict.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.13.strict.metawrap.repaired/bin.13.strict.metawrap.repaired.json,8.0.4,5,NODE_99_length_7245_cov_2.529436,0,7245,7246,darobactin,RiPP,single,1,NODE_99_length_7245_cov_2.529436.region001.gbk
13,MAG.13,bin.13.strict.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.13.strict.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.13.strict.metawrap.repaired/bin.13.strict.metawrap.repaired.json,8.0.4,6,NODE_150_length_2220_cov_2.037797,0,2220,2221,ranthipeptide; triceptide,RiPP,chemical_hybrid,2,NODE_150_length_2220_cov_2.037797.region001.gbk
14,MAG.14,bin.14.orig.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.14.orig.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.14.orig.metawrap.repaired/bin.14.orig.metawrap.repaired.json,8.0.4,1,NODE_9785_length_4506_cov_3.686812,0,4506,4507,terpene-precursor,terpene,single,1,NODE_9785_length_4506_cov_3.686812.region001.gbk
14,MAG.14,bin.14.orig.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.14.orig.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.14.orig.metawrap.repaired/bin.14.orig.metawrap.repaired.json,8.0.4,2,NODE_17437_length_3361_cov_3.693285,0,3361,3362,terpene-precursor,terpene,single,1,NODE_17437_length_3361_cov_3.693285.region001.gbk
14,MAG.14,bin.14.orig.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.14.orig.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.14.orig.metawrap.repaired/bin.14.orig.metawrap.repaired.json,8.0.4,3,NODE_24639_length_2817_cov_3.622737,0,2817,2818,terpene,terpene,single,1,NODE_24639_length_2817_cov_3.622737.region001.gbk
14,MAG.14,bin.14.orig.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.14.orig.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.14.orig.metawrap.repaired/bin.14.orig.metawrap.repaired.json,8.0.4,4,NODE_28172_length_2637_cov_3.546088,0,2637,2638,terpene,terpene,single,1,NODE_28172_length_2637_cov_3.546088.region001.gbk
14,MAG.14,bin.14.orig.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.14.orig.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.14.orig.metawrap.repaired/bin.14.orig.metawrap.repaired.json,8.0.4,5,NODE_33032_length_2439_cov_3.416946,0,2439,2440,terpene-precursor,terpene,single,1,NODE_33032_length_2439_cov_3.416946.region001.gbk
14,MAG.14,bin.14.orig.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.14.orig.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.14.orig.metawrap.repaired/bin.14.orig.metawrap.repaired.json,8.0.4,6,NODE_95777_length_1460_cov_4.249110,0,1460,1461,terpene,terpene,single,1,NODE_95777_length_1460_cov_4.249110.region001.gbk
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,1,c00003_NODE_14..,0,11147,11148,terpene,unknown,single,1,
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,2,c00004_NODE_24..,0,8792,8793,NRPS,unknown,single,1,
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,3,c00031_NODE_57..,0,5844,5845,NRPS,unknown,single,1,
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,4,c00077_NODE_90..,0,4679,4680,NRPS,unknown,single,1,
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,5,c00235_NODE_20..,0,3053,3054,NRPS,unknown,single,1,
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,6,c00241_NODE_21..,0,3031,3032,NRPS,unknown,single,1,
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,7,c00252_NODE_22..,0,2964,2965,NRPS,unknown,single,1,
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,8,c00265_NODE_23..,0,2892,2893,RRE-containing,unknown,single,1,
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,9,c00305_NODE_26..,0,2715,2716,T3PKS,unknown,single,1,
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,10,c00500_NODE_44..,0,2119,2120,NRPS,unknown,single,1,
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,11,c00612_NODE_56..,0,1875,1876,NRPS,unknown,single,1,
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,12,c00614_NODE_57..,0,1868,1869,NRPS-like,unknown,single,1,
15,MAG.15,bin.15.zip,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/index.html,data/kegg_modules/mags/gbk_antismash/bin.15/bin.15/bin.15.orig.json,6.1.1,13,c00932_NODE_14..,0,1184,1185,NRPS-like,unknown,single,1,
16,MAG.16,bin.16.strict.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.16.strict.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.16.strict.metawrap.repaired/bin.16.strict.metawrap.repaired.json,8.0.4,1,NODE_15_length_7286_cov_1.056873,0,7286,7287,terpene-precursor,terpene,single,1,NODE_15_length_7286_cov_1.056873.region001.gbk
17,MAG.17,bin.17.orig.metawrap (1).zip,data/kegg_modules/mags/gbk_antismash/bin.17.orig.metawrap_1/index.html,data/kegg_modules/mags/gbk_antismash/bin.17.orig.metawrap_1/bin.17.orig.metawrap.json,8.0.4,1,NODE_3376_length_7560_cov_3.759094,0,7560,7561,RiPP-like,RiPP,single,1,NODE_3376_length_7560_cov_3.759094.region001.gbk
17,MAG.17,bin.17.orig.metawrap (1).zip,data/kegg_modules/mags/gbk_antismash/bin.17.orig.metawrap_1/index.html,data/kegg_modules/mags/gbk_antismash/bin.17.orig.metawrap_1/bin.17.orig.metawrap.json,8.0.4,2,NODE_11602_length_4135_cov_3.581127,0,4135,4136,terpene-precursor,terpene,single,1,NODE_11602_length_4135_cov_3.581127.region001.gbk
17,MAG.17,bin.17.orig.metawrap (1).zip,data/kegg_modules/mags/gbk_antismash/bin.17.orig.metawrap_1/index.html,data/kegg_modules/mags/gbk_antismash/bin.17.orig.metawrap_1/bin.17.orig.metawrap.json,8.0.4,3,NODE_13059_length_3893_cov_3.389005,0,3893,3894,terpene-precursor,terpene,single,1,NODE_13059_length_3893_cov_3.389005.region001.gbk
18,MAG.18,bin.18.strict.metawrap.1.repaired_2.zip,data/kegg_modules/mags/gbk_antismash/bin.18.strict.metawrap.1.repaired_2/index.html,data/kegg_modules/mags/gbk_antismash/bin.18.strict.metawrap.1.repaired_2/bin.18.strict.metawrap.1.repaired_2.json,8.0.4,1,NODE_5_length_49508_cov_3.640125,23572,40524,16953,phosphonate,other,single,1,NODE_5_length_49508_cov_3.640125.region001.gbk
18,MAG.18,bin.18.strict.metawrap.1.repaired_2.zip,data/kegg_modules/mags/gbk_antismash/bin.18.strict.metawrap.1.repaired_2/index.html,data/kegg_modules/mags/gbk_antismash/bin.18.strict.metawrap.1.repaired_2/bin.18.strict.metawrap.1.repaired_2.json,8.0.4,2,NODE_16_length_30288_cov_3.843766,17655,30288,12634,hserlactone,other,single,1,NODE_16_length_30288_cov_3.843766.region001.gbk
18,MAG.18,bin.18.strict.metawrap.1.repaired_2.zip,data/kegg_modules/mags/gbk_antismash/bin.18.strict.metawrap.1.repaired_2/index.html,data/kegg_modules/mags/gbk_antismash/bin.18.strict.metawrap.1.repaired_2/bin.18.strict.metawrap.1.repaired_2.json,8.0.4,3,NODE_25_length_23903_cov_2.041761,0,19284,19285,terpene-precursor,terpene,single,1,NODE_25_length_23903_cov_2.041761.region001.gbk
19,MAG.19,bin.19.strict.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.19.strict.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.19.strict.metawrap.repaired/bin.19.strict.metawrap.repaired.json,8.0.4,1,NODE_61_length_9783_cov_1.681022,0,9783,9784,terpene-precursor,terpene,single,1,NODE_61_length_9783_cov_1.681022.region001.gbk
19,MAG.19,bin.19.strict.metawrap.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.19.strict.metawrap.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.19.strict.metawrap.repaired/bin.19.strict.metawrap.repaired.json,8.0.4,2,NODE_109_length_5696_cov_1.340274,0,5696,5697,nucleoside,other,single,1,NODE_109_length_5696_cov_1.340274.region001.gbk
20,MAG.20,,,,,,,,,,none identified,none identified,,0,
21,MAG.21,bin.21.zip,data/kegg_modules/mags/gbk_antismash/bin.21/bin.21/index.html,data/kegg_modules/mags/gbk_antismash/bin.21/bin.21/bin.21.strict.json,6.1.1,1,c00216_NODE_21..,0,2070,2071,RRE-containing,unknown,single,1,
22,MAG.22,bin.22.orig.metawrap.1.repaired(1).zip,data/kegg_modules/mags/gbk_antismash/bin.22.orig.metawrap.1.repaired1/index.html,data/kegg_modules/mags/gbk_antismash/bin.22.orig.metawrap.1.repaired1/bin.22.orig.metawrap.1.repaired.json,8.0.4,1,NODE_15293_length_3585_cov_6.994334,0,3585,3586,terpene-precursor,terpene,single,1,NODE_15293_length_3585_cov_6.994334.region001.gbk
22,MAG.22,bin.22.orig.metawrap.1.repaired(1).zip,data/kegg_modules/mags/gbk_antismash/bin.22.orig.metawrap.1.repaired1/index.html,data/kegg_modules/mags/gbk_antismash/bin.22.orig.metawrap.1.repaired1/bin.22.orig.metawrap.1.repaired.json,8.0.4,2,NODE_33213_length_2432_cov_4.398822,0,2432,2433,terpene-precursor,terpene,single,1,NODE_33213_length_2432_cov_4.398822.region001.gbk
22,MAG.22,bin.22.orig.metawrap.1.repaired(1).zip,data/kegg_modules/mags/gbk_antismash/bin.22.orig.metawrap.1.repaired1/index.html,data/kegg_modules/mags/gbk_antismash/bin.22.orig.metawrap.1.repaired1/bin.22.orig.metawrap.1.repaired.json,8.0.4,3,NODE_41410_length_2183_cov_4.094455,0,2183,2184,terpene,terpene,single,1,NODE_41410_length_2183_cov_4.094455.region001.gbk
23,MAG.23,bin.23.permissive.metawrap.repaired(1).zip,data/kegg_modules/mags/gbk_antismash/bin.23.permissive.metawrap.repaired1/index.html,data/kegg_modules/mags/gbk_antismash/bin.23.permissive.metawrap.repaired1/bin.23.permissive.metawrap.repaired.json,8.0.4,1,NODE_43_length_7692_cov_3.734077,0,7692,7693,terpene-precursor,terpene,single,1,NODE_43_length_7692_cov_3.734077.region001.gbk
23,MAG.23,bin.23.permissive.metawrap.repaired(1).zip,data/kegg_modules/mags/gbk_antismash/bin.23.permissive.metawrap.repaired1/index.html,data/kegg_modules/mags/gbk_antismash/bin.23.permissive.metawrap.repaired1/bin.23.permissive.metawrap.repaired.json,8.0.4,2,NODE_81_length_4846_cov_2.320193,0,4846,4847,RRE-containing,RiPP,single,1,NODE_81_length_4846_cov_2.320193.region001.gbk
24,MAG.24,bin.24.orig.metawrap.1.repaired.zip,data/kegg_modules/mags/gbk_antismash/bin.24.orig.metawrap.1.repaired/index.html,data/kegg_modules/mags/gbk_antismash/bin.24.orig.metawrap.1.repaired/bin.24.orig.metawrap.1.repaired.json,8.0.4,1,NODE_26365_length_2725_cov_3.988390,0,2725,2726,terpene-precursor,terpene,single,1,NODE_26365_length_2725_cov_3.988390.region001.gbk
25,MAG.25,bin.25.permissive.metawrap.repaired(2).zip,data/kegg_modules/mags/gbk_antismash/bin.25.permissive.metawrap.repaired2/index.html,data/kegg_modules/mags/gbk_antismash/bin.25.permissive.metawrap.repaired2/bin.25.permissive.metawrap.repaired.json,8.0.4,1,NODE_61_length_6576_cov_3.550854,0,6576,6577,terpene-precursor,terpene,single,1,NODE_61_length_6576_cov_3.550854.region001.gbk
