Old filename,Old figure number,New filename,New figure number,Domain,Taxonomic level,Plot type,Script,Input file,Output files,Article citation updated,Supplementary legend updated,App entry updated
New domain-specific figure; no prior Archaea equivalent,Not applicable,SupplementaryFigure53_Taxonomy_Archaea_Order_individual_samples_barplot_100pct.png,53,Archaea,Order,Barplot by individual sample,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure53_Taxonomy_Archaea_Order_individual_samples_barplot_100pct.png; SupplementaryFigure53_Taxonomy_Archaea_Order_individual_samples_barplot_100pct.pdf; SupplementaryFigure53_Taxonomy_Archaea_Order_individual_samples_barplot_100pct.svg,Yes,Yes,Yes
New domain-specific figure; no prior Archaea equivalent,Not applicable,SupplementaryFigure54_Taxonomy_Archaea_Order_individual_samples_heatmap_relative_abundance.png,54,Archaea,Order,Relative-abundance heatmap,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure54_Taxonomy_Archaea_Order_individual_samples_heatmap_relative_abundance.png; SupplementaryFigure54_Taxonomy_Archaea_Order_individual_samples_heatmap_relative_abundance.pdf; SupplementaryFigure54_Taxonomy_Archaea_Order_individual_samples_heatmap_relative_abundance.svg,Yes,Yes,Yes
SupplementaryFigure46_Taxonomy_Family_individual_samples_barplot_100pct.png,46,SupplementaryFigure55_Taxonomy_Bacteria_Family_individual_samples_barplot_100pct.png,55,Bacteria,Family,Barplot by individual sample,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure55_Taxonomy_Bacteria_Family_individual_samples_barplot_100pct.png; SupplementaryFigure55_Taxonomy_Bacteria_Family_individual_samples_barplot_100pct.pdf; SupplementaryFigure55_Taxonomy_Bacteria_Family_individual_samples_barplot_100pct.svg,Yes,Yes,Yes
SupplementaryFigure47_Taxonomy_Family_individual_samples_heatmap.png,47,SupplementaryFigure56_Taxonomy_Bacteria_Family_individual_samples_heatmap_relative_abundance.png,56,Bacteria,Family,Relative-abundance heatmap,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure56_Taxonomy_Bacteria_Family_individual_samples_heatmap_relative_abundance.png; SupplementaryFigure56_Taxonomy_Bacteria_Family_individual_samples_heatmap_relative_abundance.pdf; SupplementaryFigure56_Taxonomy_Bacteria_Family_individual_samples_heatmap_relative_abundance.svg,Yes,Yes,Yes
New domain-specific figure; no prior Archaea equivalent,Not applicable,SupplementaryFigure57_Taxonomy_Archaea_Family_individual_samples_barplot_100pct.png,57,Archaea,Family,Barplot by individual sample,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure57_Taxonomy_Archaea_Family_individual_samples_barplot_100pct.png; SupplementaryFigure57_Taxonomy_Archaea_Family_individual_samples_barplot_100pct.pdf; SupplementaryFigure57_Taxonomy_Archaea_Family_individual_samples_barplot_100pct.svg,Yes,Yes,Yes
New domain-specific figure; no prior Archaea equivalent,Not applicable,SupplementaryFigure58_Taxonomy_Archaea_Family_individual_samples_heatmap_relative_abundance.png,58,Archaea,Family,Relative-abundance heatmap,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure58_Taxonomy_Archaea_Family_individual_samples_heatmap_relative_abundance.png; SupplementaryFigure58_Taxonomy_Archaea_Family_individual_samples_heatmap_relative_abundance.pdf; SupplementaryFigure58_Taxonomy_Archaea_Family_individual_samples_heatmap_relative_abundance.svg,Yes,Yes,Yes
SupplementaryFigure48_Taxonomy_Genus_individual_samples_barplot_100pct.png,48,SupplementaryFigure59_Taxonomy_Bacteria_Genus_individual_samples_barplot_100pct.png,59,Bacteria,Genus,Barplot by individual sample,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure59_Taxonomy_Bacteria_Genus_individual_samples_barplot_100pct.png; SupplementaryFigure59_Taxonomy_Bacteria_Genus_individual_samples_barplot_100pct.pdf; SupplementaryFigure59_Taxonomy_Bacteria_Genus_individual_samples_barplot_100pct.svg,Yes,Yes,Yes
SupplementaryFigure49_Taxonomy_Genus_individual_samples_heatmap.png,49,SupplementaryFigure60_Taxonomy_Bacteria_Genus_individual_samples_heatmap_relative_abundance.png,60,Bacteria,Genus,Relative-abundance heatmap,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure60_Taxonomy_Bacteria_Genus_individual_samples_heatmap_relative_abundance.png; SupplementaryFigure60_Taxonomy_Bacteria_Genus_individual_samples_heatmap_relative_abundance.pdf; SupplementaryFigure60_Taxonomy_Bacteria_Genus_individual_samples_heatmap_relative_abundance.svg,Yes,Yes,Yes
New domain-specific figure; no prior Archaea equivalent,Not applicable,SupplementaryFigure61_Taxonomy_Archaea_Genus_individual_samples_barplot_100pct.png,61,Archaea,Genus,Barplot by individual sample,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure61_Taxonomy_Archaea_Genus_individual_samples_barplot_100pct.png; SupplementaryFigure61_Taxonomy_Archaea_Genus_individual_samples_barplot_100pct.pdf; SupplementaryFigure61_Taxonomy_Archaea_Genus_individual_samples_barplot_100pct.svg,Yes,Yes,Yes
New domain-specific figure; no prior Archaea equivalent,Not applicable,SupplementaryFigure62_Taxonomy_Archaea_Genus_individual_samples_heatmap_relative_abundance.png,62,Archaea,Genus,Relative-abundance heatmap,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure62_Taxonomy_Archaea_Genus_individual_samples_heatmap_relative_abundance.png; SupplementaryFigure62_Taxonomy_Archaea_Genus_individual_samples_heatmap_relative_abundance.pdf; SupplementaryFigure62_Taxonomy_Archaea_Genus_individual_samples_heatmap_relative_abundance.svg,Yes,Yes,Yes
SupplementaryFigure54_Taxonomy_Species_individual_samples_barplot_100pct.png,54,SupplementaryFigure63_Taxonomy_Bacteria_Species_individual_samples_barplot_100pct.png,63,Bacteria,Species,Barplot by individual sample,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure63_Taxonomy_Bacteria_Species_individual_samples_barplot_100pct.png; SupplementaryFigure63_Taxonomy_Bacteria_Species_individual_samples_barplot_100pct.pdf; SupplementaryFigure63_Taxonomy_Bacteria_Species_individual_samples_barplot_100pct.svg,Yes,Yes,Yes
SupplementaryFigure55_Taxonomy_Species_individual_samples_heatmap.png,55,SupplementaryFigure64_Taxonomy_Bacteria_Species_individual_samples_heatmap_relative_abundance.png,64,Bacteria,Species,Relative-abundance heatmap,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure64_Taxonomy_Bacteria_Species_individual_samples_heatmap_relative_abundance.png; SupplementaryFigure64_Taxonomy_Bacteria_Species_individual_samples_heatmap_relative_abundance.pdf; SupplementaryFigure64_Taxonomy_Bacteria_Species_individual_samples_heatmap_relative_abundance.svg,Yes,Yes,Yes
New domain-specific figure; no prior Archaea equivalent,Not applicable,SupplementaryFigure65_Taxonomy_Archaea_Species_individual_samples_barplot_100pct.png,65,Archaea,Species,Barplot by individual sample,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure65_Taxonomy_Archaea_Species_individual_samples_barplot_100pct.png; SupplementaryFigure65_Taxonomy_Archaea_Species_individual_samples_barplot_100pct.pdf; SupplementaryFigure65_Taxonomy_Archaea_Species_individual_samples_barplot_100pct.svg,Yes,Yes,Yes
New domain-specific figure; no prior Archaea equivalent,Not applicable,SupplementaryFigure66_Taxonomy_Archaea_Species_individual_samples_heatmap_relative_abundance.png,66,Archaea,Species,Relative-abundance heatmap,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure66_Taxonomy_Archaea_Species_individual_samples_heatmap_relative_abundance.png; SupplementaryFigure66_Taxonomy_Archaea_Species_individual_samples_heatmap_relative_abundance.pdf; SupplementaryFigure66_Taxonomy_Archaea_Species_individual_samples_heatmap_relative_abundance.svg,Yes,Yes,Yes
SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap.png,56,SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap.png,67,Not applicable,KEGG/KEMET modules,Three-state completeness heatmap,scripts/generate_kegg_module_completeness_heatmaps_green_blue_red.py,data/final_kegg_st8_update/Combined_lagoon_plus_external_iron_rich_module_completeness_STATUS_3state.csv,SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap.png; SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap.pdf; SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap.svg,Yes,Yes,Yes
