Figure,Description,PNG,PDF,SVG,Script,Inputs,Command,Usage,Panel_count,SHA256_PNG,Title,Panel,Purpose,Data_origin,Intermediate_files,Parameters,Filters,Statistical_methods,Random_seed,Libraries_and_versions,Article_location,App_location,Validation_status,SHA256_PDF,SHA256_SVG,Notes,Last_generated_UTC
Supplementary Figure 3,SupplementaryFigure3_NMDS_CDS_taxonomy,SupplementaryFigure3_NMDS_CDS_taxonomy.png,SupplementaryFigure3_NMDS_CDS_taxonomy.pdf,SupplementaryFigure3_NMDS_CDS_taxonomy.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,supplementary material and application where applicable,1,fb053bacfae7863e285f365b8932f0c637e2c9abddff86e714115dcc2ee87b2b,,,,,,,,,,,,,,f8dec91bbb339abecddd0b1a7bb5704611caf5c2044f7a0a1228e9cbd0d520e5,d0d44ac23e0fa48a850adf9c2a6d99b668fd041d33d3406ec589189b96bc7ff2,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 4,SupplementaryFigure4_alpha_diversity_CDS_32999,SupplementaryFigure4_alpha_diversity_CDS_32999.png,SupplementaryFigure4_alpha_diversity_CDS_32999.pdf,SupplementaryFigure4_alpha_diversity_CDS_32999.svg,scripts/final_publication_figures/06_recalculate_rarefaction_alpha_32999.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,CANGAMETA_ONLY_S4=1 python scripts/final_publication_figures/06_recalculate_rarefaction_alpha_32999.py,article; application,1,a9da7db35146af4046cd1a7302cdf6bbe6af27f16e24da71f196bb1cd1baee0b,,,,,,,,,,,,,PASS — regenerated by canonical v14 script and inspected in rendered DOCX/PDF,fc44a078958d6d7b70c8bee32031f92d5ea110d533b3b706cac4a2f62dfd978d,7eeee882172a4d6e27c1fbbc06a6b9f7b143e016c9c68771075d3830049b94b0,Final order v14; scientific values unchanged; no manual image editing.,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 5,SupplementaryFigure5_MAG_bubble_original,SupplementaryFigure5_MAG_bubble_original.png,SupplementaryFigure5_MAG_bubble_original.pdf,SupplementaryFigure5_MAG_bubble_original.svg,scripts/figures/generate_figures4_5_s17_revision3.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/fiqui2.xlsx,python scripts/figures/generate_figures4_5_s17_revision3.py --base-dir . --article-root ../CangaMetaG_Article_Final,article; application,1,8f4afbd8a65d78c5ee3681d43b8bf592881d8eb67f6306e7693b2086f3b5bdfc,,,,,,,,,,,,,,65b9704374f4f2eb82359becdd666ce949eb654cddb8ace1c5aa9c7022b54b21,2e53091576753c399774faf54ca4c58c0c6d9a79337a7ebfbe79524fc2fa7b2e,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 6,SupplementaryFigure6_MAG_bubble_original,SupplementaryFigure6_MAG_bubble_original.png,SupplementaryFigure6_MAG_bubble_original.pdf,SupplementaryFigure6_MAG_bubble_original.svg,scripts/generate_targeted_figures_20260805.py,tables/Supplementary_Table_7.xlsx; data/Supplementary_table_7-MAGS-Quality-Genome_Lineage-Classification.xlsx,python scripts/generate_targeted_figures_20260805.py --package-root . --targets all,article; application,1,f653fc3ef5d3416dbf8811ac4adb35330c6c06c59930f477326d935e1d7c12e8,SupplementaryFigure6_MAG_bubble_original,Complete figure,Display all 49 canonical MAG IDs and all eight lake–season groups with non-empty labels.,Canonical packaged study inputs; scientific matrices and frozen ordination results preserved.,data/final_publication_derived/SupplementaryFigure6_MAG_bubble_original_source.csv; validation/targeted_figures_20260805/SupplementaryFigure6_MAG_audit.csv,MAG ID primary key; numeric order; zero-abundance records retained; group means without renormalization.,No MAG or lake-season group removed; all 49 unique MAG IDs and all eight canonical groups retained.,Descriptive group means only; no renormalization and no inferential test.,Not applicable — deterministic.,Python; pandas; NumPy; Matplotlib; Plotly; Pillow; versions in requirements.txt.,article/03_Supplementary_Figures/SupplementaryFigure6_MAG_bubble_original.png,outputs/app_supplementary_figures/SupplementaryFigure6_MAG_bubble_original.png,"PASS — regenerated, audited and static–interactive parity verified (20260805).",06ee5a57d5e46d9a6462074a46d033e91ebfaf6cb9f79b7eda27d9126fa692c7,52b5b5f5b9c675ff0ab177a5d1b156a0b1f776178b61c7ff3173fa4c42cb6a11,"Targeted correction only; no unrelated figure, application module or scientific inference changed.",2026-08-05T00:00:00+00:00
Supplementary Figure 7,SupplementaryFigure7_ST8_iron_selected_zscore_proportional,SupplementaryFigure7_ST8_iron_selected_zscore_proportional_P01.png,SupplementaryFigure7_ST8_iron_selected_zscore_proportional_P01.pdf,SupplementaryFigure7_ST8_iron_selected_zscore_proportional_P01.svg,scripts/figures/generate_s6_s7.py,data/publication_sources/Supplementary_Table_4.xlsx; data/st8_metadata_curated.csv,python scripts/figures/generate_s6_s7.py --base-dir .,supplementary material and application where applicable,2,2d63c60d43e3a08cf95348c46a8ce06ddeb82e2f51bd10fef1cfc55188e78b84,,,,,,,,,,,,,,02038a652617f6e402336f2c8a42c8e20618c93c2d6f61aeeeea6f23b931e7a1,f18a3cc710df5c0e77771cdc76d836a07e1a9764b8a9705145248a2900c1e7a9,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 8,SupplementaryFigure8_most_abundant_all_KO_vivid,SupplementaryFigure8_most_abundant_all_KO_vivid.png,SupplementaryFigure8_most_abundant_all_KO_vivid.pdf,SupplementaryFigure8_most_abundant_all_KO_vivid.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,supplementary material and application where applicable,1,b4eefd6a7f004116de89c877b2215118a9fbaf03483754c5c7dac1caafe06c9f,,,,,,,,,,,,,,9488acd09b7a55f40b32f324c11f55210fb2092252ffe189fadf3f799ad88a16,ab85355794edd2a0630135496885e1106f59be23d788ad244db03a355af8bbce,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 9,SupplementaryFigure9_KO_category_boxplot_vivid,SupplementaryFigure9_KO_category_boxplot_vivid.png,SupplementaryFigure9_KO_category_boxplot_vivid.pdf,SupplementaryFigure9_KO_category_boxplot_vivid.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,supplementary material and application where applicable,1,007752f93a7e39e44213b1f98dfbc585bed37a8f99219d45116efb8d5096443d,,,,,,,,,,,,,,cb082fc5884f8b07bde0b55dc7505e3858fe75be5fcf7f30539b03628eaf639f,6f0a4f0ff4ab8a2879a1e892502e8a2eb9d02a830f1bec3ab36aa572f0a532fb,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 10,SupplementaryFigure10_iron_category_boxplot_vivid,SupplementaryFigure10_iron_category_boxplot_vivid.png,SupplementaryFigure10_iron_category_boxplot_vivid.pdf,SupplementaryFigure10_iron_category_boxplot_vivid.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,supplementary material and application where applicable,1,df6713ce42a3110e380fbf838784af3d2be82fcef0f94594f2fe602401cfd665,,,,,,,,,,,,,,fa3151eb58793c2f1879cb6b01eeed43212d54849be34d155bcb071afb3c73fe,f2485cc778f40a76a548bd515875aa2e0fe3290a9f218486a4fef28fc2821259,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 11,SupplementaryFigure11_most_abundant_iron_markers_vivid,SupplementaryFigure11_most_abundant_iron_markers_vivid.png,SupplementaryFigure11_most_abundant_iron_markers_vivid.pdf,SupplementaryFigure11_most_abundant_iron_markers_vivid.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,supplementary material and application where applicable,1,7b0a405372bca52738a89e903ce328ca5b1cbcb52fc1745ed784d52bfa66b502,,,,,,,,,,,,,,7ae5b4a96b54654f7e5c8470beaf3d67937eb60cccd330d486b42325c48d2665,8ad5aead7fcd81ffe8220e05e5c6f3bec9b67a414c27b93459a3e68265b5e524,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 12,SupplementaryFigure12_combined_marker_contrasts_vivid,SupplementaryFigure12_combined_marker_contrasts_vivid.png,SupplementaryFigure12_combined_marker_contrasts_vivid.pdf,SupplementaryFigure12_combined_marker_contrasts_vivid.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,supplementary material and application where applicable,1,cc7ae786902d5bdac021eff9049d1721b4b615f7ef75d778c1fda3e3b700de17,,,,,,,,,,,,,,15941bfeecfd5424a81d439cbcfd1b670a702483c6d6e9a01efe618a623c1226,34c59c84c9e1a508e0232a2b7c29810c1fdeedfc5e88b871aace7ce7da221b0b,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 13,SupplementaryFigure13_metadata_availability_heatmap_vivid,SupplementaryFigure13_metadata_availability_heatmap_vivid.png,SupplementaryFigure13_metadata_availability_heatmap_vivid.pdf,SupplementaryFigure13_metadata_availability_heatmap_vivid.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,supplementary material and application where applicable,1,601b7f58165b6c93156a37643cbbdb8361f87a0449f2387ae16fd981935b9b14,,,,,,,,,,,,,,09259eeae4b6395f9b91ae462216f673eb890ca86b95424f3f36df437407dbd5,06fa86b8438bd43e0d9483c9fc6c14ecbb8d2d385e40c1ee6b6cce560fdb6d5d,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 14,SupplementaryFigure14_GTDB_phylum_combined_bold,SupplementaryFigure14_GTDB_phylum_combined_bold.png,SupplementaryFigure14_GTDB_phylum_combined_bold.pdf,SupplementaryFigure14_GTDB_phylum_combined_bold.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,supplementary material and application where applicable,1,c48d4247b4b466404947282db916844cd1cb96c329c7729c3a89ddf7328c0ab3,,,,,,,,,,,,,,5787f3ea4888ad0e74a417b3e605165a460e79fcb007323ce3b233648151a63d,b06b6c918745241700be03a6164d0e67a5014e7de9de9435b9aa787444350503,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 15,SupplementaryFigure15_FeGenie_all_metagenomes_heatmap_vivid,SupplementaryFigure15_FeGenie_all_metagenomes_heatmap_vivid.png,SupplementaryFigure15_FeGenie_all_metagenomes_heatmap_vivid.pdf,SupplementaryFigure15_FeGenie_all_metagenomes_heatmap_vivid.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,supplementary material and application where applicable,1,5f20500095ff3b8ea390d3478dd8c16ee2e3e5df6301e61d9576f948f0dd3f97,,,,,,,,,,,,,,2d3a50eb53efb07069bbf686f7e0f31e0986d593fa21b408ddc97fcc6d0e6fce,17eef5c50aa5e08b59498949527755c831656c1a03bf760ae3540bf8744ec589,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 16,SupplementaryFigure16_FeGenie_boxplots_statistics_vivid,SupplementaryFigure16_FeGenie_boxplots_statistics_vivid.png,SupplementaryFigure16_FeGenie_boxplots_statistics_vivid.pdf,SupplementaryFigure16_FeGenie_boxplots_statistics_vivid.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,supplementary material and application where applicable,1,3d596574f90f241d20060f6c449f8a59260a2124fb97e38d1f216c3d0872fa09,,,,,,,,,,,,,,4631d594333d8acbf2e831de0f511d2b7d67096aead5ef98d0a27bc085b92487,45de8fa0463467a736cf2faf26b74dfe5c7111b38214aa95baef3ea9a19b496f,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 17,SupplementaryFigure17_RDA_and_physicochemical_heatmap,SupplementaryFigure17_RDA_and_physicochemical_heatmap.png,SupplementaryFigure17_RDA_and_physicochemical_heatmap.pdf,SupplementaryFigure17_RDA_and_physicochemical_heatmap.svg,scripts/figures/generate_ordinations_revision4.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/fiqui2.xlsx,python scripts/figures/generate_ordinations_revision4.py --base-dir . --article-root ../CangaMetaG_Article_Final,supplementary information; application,1,b39515aff803279f068a195303ee327cdd595da47271c8202ef09f80f663aa26,,,,,,,,,,,,,PASS — regenerated by canonical shared src.publication_ordination implementation and reverified in Chromium,56841590bd89bb4a974312fa080d658513638821d2c3a7eeed2eec1343443534,da85c2568641a359ce198d96ddf39028acd180f8f0c9e76316b5f9226eb795cb,RDA/NMDS article and app use the same canonical implementation; no manual image editing.,2026-07-28T05:40:42.938894+00:00
Supplementary Figure 18,SupplementaryFigure18_RDA_and_physicochemical_heatmap,SupplementaryFigure18_RDA_and_physicochemical_heatmap.png,SupplementaryFigure18_RDA_and_physicochemical_heatmap.pdf,SupplementaryFigure18_RDA_and_physicochemical_heatmap.svg,scripts/generate_targeted_figures_20260805.py,reproducibility/ordination_reproducibility; data/final_publication_derived/SupplementaryFigure17_physicochemical_row_zscore_source.csv,python scripts/generate_targeted_figures_20260805.py --package-root . --targets all,article; application,1,0a7cc26381239e964c7006910d143eb4a37071ed6386097d04688c332923576a,SupplementaryFigure18_RDA_and_physicochemical_heatmap,Complete figure,Plot the frozen RDA results and unchanged physicochemical row-z-score matrix with an external colorbar axis.,Canonical packaged study inputs; scientific matrices and frozen ordination results preserved.,data/final_publication_derived/SupplementaryFigure18_RDA_and_physicochemical_heatmap_source.csv; validation/targeted_figures_20260805/SupplementaryFigure18_frozen_data_audit.json,"GridSpec colorbar axis outside the heatmap; matrix, limits, order, coordinates, vectors and statistics unchanged.","No coordinate, vector, statistic, heatmap row or heatmap column changed.",Frozen RDA/NMDS results and packaged permutation statistics are plotted without recomputation.,42 (frozen NMDS/RDA; 999 RDA permutations),Python; pandas; NumPy; Matplotlib; Plotly; Pillow; versions in requirements.txt.,article/03_Supplementary_Figures/SupplementaryFigure18_RDA_and_physicochemical_heatmap.png,outputs/app_supplementary_figures/SupplementaryFigure18_RDA_and_physicochemical_heatmap.png,"PASS — regenerated, audited and static–interactive parity verified (20260805).",09bd90d8e78b9e8331bb4477b000f613d55847ab519bc8cdde479c5506c40977,4ab28df9a88e17f53018ecc7342be023d402e0b5ad551decc061bea7f1b84d63,"Targeted correction only; no unrelated figure, application module or scientific inference changed.",2026-08-05T00:00:00+00:00
Supplementary Figure 19,SupplementaryFigure19_GTDB_phylum_metatranscriptomics_bold,SupplementaryFigure19_GTDB_phylum_metatranscriptomics_bold.png,SupplementaryFigure19_GTDB_phylum_metatranscriptomics_bold.pdf,SupplementaryFigure19_GTDB_phylum_metatranscriptomics_bold.svg,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,supplementary material and application where applicable,1,dbc50cc748381d0d8fc52181ed4eca0e88ae14ab42d63de72589ca6a5b12a1b5,,,,,,,,,,,,,,5dd37083aae65694ce7b0549234ded4245d9d27b1ba7a7d8e13d771c02b2cb62,5414835cb0d681bcc0b6addc730e0d0cb42bda5020ec1e8d61d2df632426b8a2,,2026-07-26T03:10:20.893877+00:00
