__module_id__,Module_name,Biogeochemical_cycle,Relation_to_iron,Table_S8_biomarker_KOs,Reason_for_inclusion,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
M00338,"Cysteine biosynthesis, homocysteine + serine -> cysteine",Sulfur,No direct iron relation assigned,K10150,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,Complete,1 block missing,Complete,1 block missing,Complete,Complete,Complete,Complete,Complete,1 block missing,1 block missing,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
M00616,Sulfate-sulfur assimilation,Sulfur,No direct iron relation assigned,K00380; K00381; K00390; K00392; K00860; K00956; K00957; K00958,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,Complete,Incomplete,Complete,Incomplete,Complete,1 block missing,Incomplete,1 block missing,1 block missing,Incomplete,1 block missing,1 block missing,Incomplete,1 block missing,1 block missing,Incomplete,1 block missing,Incomplete,Incomplete
M00161,Photosystem II,Photosynthesis,No direct iron relation assigned,K02703,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
M00163,Photosystem I,Photosynthesis,No direct iron relation assigned,K02689; K02690,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
M00611,Oxygenic photosynthesis in plants and cyanobacteria,Photosynthesis,No direct iron relation assigned,K00855; K01601; K01602; K02689; K02690; K02703,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,1 block missing,1 block missing,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,Complete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
M00121,"Heme biosynthesis, plants and bacteria, glutamate -> heme",Iron,Iron/heme-related module,None,Directly represents the requested iron theme in the packaged KEGG/KEMET module catalogue.,Complete,Complete,Incomplete,Complete,Complete,Complete,Complete,1 block missing,Complete,Complete,1 block missing,Complete,Complete,Complete,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing
M00144,"NADH:quinone oxidoreductase, prokaryotes",Iron,Direct Table S8 iron-biomarker intersection,K00338; K00340,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,Complete,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,Complete,1 block missing,Complete,Complete,1 block missing,1 block missing,Complete,Complete,1 block missing,Complete,1 block missing,Complete
M00151,Cytochrome bc1 complex respiratory unit,Iron,Direct Table S8 iron-biomarker intersection,K00410; K00411; K00412; K00413,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,Complete,1 block missing,Complete,1 block missing,Complete,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
M00155,"Cytochrome c oxidase, prokaryotes",Iron,Direct Table S8 iron-biomarker intersection,K02274; K02275; K02276; K02277,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,Complete,1 block missing,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,1 block missing,Complete,1 block missing,Complete,Complete,Complete,1 block missing
M00868,"Heme biosynthesis, animals and fungi, glycine -> heme",Iron,Iron/heme-related module,None,Directly represents the requested iron theme in the packaged KEGG/KEMET module catalogue.,Incomplete,Complete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,Incomplete
M00926,Heme biosynthesis bacteria,Iron,Iron/heme-related module,None,Directly represents the requested iron theme in the packaged KEGG/KEMET module catalogue.,Complete,Complete,Incomplete,Complete,1 block missing,1 block missing,1 block missing,Incomplete,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,Incomplete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
