Figure,Module_ID,Module_name,Biogeochemical_cycle,Relation_to_iron,Table_S8_biomarker_KOs,Reason_for_inclusion,Sample_or_MAG,Original_status,Displayed_visual_class,Color_hex,Panel,Row_order,Column_order,Source_file,Selection_script,Selection_rule
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P2.R,1 block missing,1 block missing,#1565C0,P001,1,12,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P3.D,1 block missing,1 block missing,#1565C0,P001,1,13,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P3.R,1 block missing,1 block missing,#1565C0,P001,1,14,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P4.D,Complete,Complete,#2E7D32,P001,1,15,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P4.R,1 block missing,1 block missing,#1565C0,P001,1,16,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,VI.P1.D,1 block missing,1 block missing,#1565C0,P001,1,17,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,VI.P1.R,1 block missing,1 block missing,#1565C0,P001,1,18,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,VI.P2.D,1 block missing,1 block missing,#1565C0,P001,1,19,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,VI.P2.R,1 block missing,1 block missing,#1565C0,P001,1,20,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,AM.P1.D,Complete,Complete,#2E7D32,P001,2,1,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,AM.P1.R,Complete,Complete,#2E7D32,P001,2,2,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,AM.P2.D,Incomplete,Incomplete,#C62828,P001,2,3,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,AM.P2.R,1 block missing,1 block missing,#1565C0,P001,2,4,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TIA.P1.D,Incomplete,Incomplete,#C62828,P001,2,5,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TIA.P1.R,Incomplete,Incomplete,#C62828,P001,2,6,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TIA.P2.D,Incomplete,Incomplete,#C62828,P001,2,7,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TIA.P2.R,Incomplete,Incomplete,#C62828,P001,2,8,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P1.D,1 block missing,1 block missing,#1565C0,P001,2,9,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P1.R,Incomplete,Incomplete,#C62828,P001,2,10,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P2.D,Incomplete,Incomplete,#C62828,P001,2,11,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P2.R,1 block missing,1 block missing,#1565C0,P001,2,12,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P3.D,1 block missing,1 block missing,#1565C0,P001,2,13,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P3.R,Incomplete,Incomplete,#C62828,P001,2,14,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P4.D,1 block missing,1 block missing,#1565C0,P001,2,15,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P4.R,1 block missing,1 block missing,#1565C0,P001,2,16,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,VI.P1.D,Incomplete,Incomplete,#C62828,P001,2,17,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,VI.P1.R,Incomplete,Incomplete,#C62828,P001,2,18,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,VI.P2.D,1 block missing,1 block missing,#1565C0,P001,2,19,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,VI.P2.R,Incomplete,Incomplete,#C62828,P001,2,20,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,AM.P1.D,Complete,Complete,#2E7D32,P001,3,1,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,AM.P1.R,1 block missing,1 block missing,#1565C0,P001,3,2,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,AM.P2.D,1 block missing,1 block missing,#1565C0,P001,3,3,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,AM.P2.R,Complete,Complete,#2E7D32,P001,3,4,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TIA.P1.D,Complete,Complete,#2E7D32,P001,3,5,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TIA.P1.R,Incomplete,Incomplete,#C62828,P001,3,6,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TIA.P2.D,Complete,Complete,#2E7D32,P001,3,7,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TIA.P2.R,Incomplete,Incomplete,#C62828,P001,3,8,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P1.D,Complete,Complete,#2E7D32,P001,3,9,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P1.R,1 block missing,1 block missing,#1565C0,P001,3,10,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P2.D,Incomplete,Incomplete,#C62828,P001,3,11,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P2.R,Complete,Complete,#2E7D32,P001,3,12,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P3.D,1 block missing,1 block missing,#1565C0,P001,3,13,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P3.R,1 block missing,1 block missing,#1565C0,P001,3,14,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P4.D,1 block missing,1 block missing,#1565C0,P001,3,15,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P4.R,1 block missing,1 block missing,#1565C0,P001,3,16,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,VI.P1.D,Incomplete,Incomplete,#C62828,P001,3,17,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,VI.P1.R,1 block missing,1 block missing,#1565C0,P001,3,18,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
