Module_id,Module_name,Sample,KEMET_like_status_3state
M00061,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",Acid Mine Drainage 2010484004,INCOMPLETE
M00063,CMP-KDO biosynthesis,Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00064,ADP-L-glycero-D-manno-heptose biosynthesis,Acid Mine Drainage 2010484004,INCOMPLETE
M00065,"GPI-anchor biosynthesis, core oligosaccharide",Acid Mine Drainage 2010484004,INCOMPLETE
M00066,Lactosylceramide biosynthesis,Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00067,"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid",Acid Mine Drainage 2010484004,INCOMPLETE
M00068,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer",Acid Mine Drainage 2010484004,INCOMPLETE
M00069,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3",Acid Mine Drainage 2010484004,INCOMPLETE
M00070,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer",Acid Mine Drainage 2010484004,INCOMPLETE
M00071,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer",Acid Mine Drainage 2010484004,INCOMPLETE
M00072,N-glycosylation by oligosaccharyltransferase,Acid Mine Drainage 2010484004,INCOMPLETE
M00073,N-glycan precursor trimming,Acid Mine Drainage 2010484004,INCOMPLETE
M00074,"N-glycan biosynthesis, high-mannose type",Acid Mine Drainage 2010484004,INCOMPLETE
M00075,"N-glycan biosynthesis, complex type",Acid Mine Drainage 2010484004,INCOMPLETE
M00076,Dermatan sulfate degradation,Acid Mine Drainage 2010484004,INCOMPLETE
M00077,Chondroitin sulfate degradation,Acid Mine Drainage 2010484004,INCOMPLETE
M00078,Heparan sulfate degradation,Acid Mine Drainage 2010484004,INCOMPLETE
M00079,Keratan sulfate degradation,Acid Mine Drainage 2010484004,INCOMPLETE
M00081,Pectin degradation,Acid Mine Drainage 2010484004,INCOMPLETE
M00082,"Fatty acid biosynthesis, initiation",Acid Mine Drainage 2010484004,INCOMPLETE
M00083,"Fatty acid biosynthesis, elongation",Acid Mine Drainage 2010484004,INCOMPLETE
M00085,Fatty acid elongation in mitochondria,Acid Mine Drainage 2010484004,INCOMPLETE
M00086,"beta-Oxidation, acyl-CoA synthesis",Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00087,beta-Oxidation,Acid Mine Drainage 2010484004,INCOMPLETE
M00088,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone",Acid Mine Drainage 2010484004,INCOMPLETE
M00089,Triacylglycerol biosynthesis,Acid Mine Drainage 2010484004,INCOMPLETE
M00090,"Phosphatidylcholine (PC) biosynthesis, choline => PC",Acid Mine Drainage 2010484004,INCOMPLETE
M00091,"Phosphatidylcholine (PC) biosynthesis, PE => PC",Acid Mine Drainage 2010484004,INCOMPLETE
M00092,"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",Acid Mine Drainage 2010484004,INCOMPLETE
M00093,"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00094,Ceramide biosynthesis,Acid Mine Drainage 2010484004,INCOMPLETE
M00095,"C5 isoprenoid biosynthesis, mevalonate pathway",Acid Mine Drainage 2010484004,INCOMPLETE
M00096,"C5 isoprenoid biosynthesis, non-mevalonate pathway",Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00097,"beta-Carotene biosynthesis, GGAP => beta-carotene",Acid Mine Drainage 2010484004,INCOMPLETE
M00098,Acylglycerol degradation,Acid Mine Drainage 2010484004,INCOMPLETE
M00099,Sphingosine biosynthesis,Acid Mine Drainage 2010484004,INCOMPLETE
M00100,Sphingosine degradation,Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00101,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",Acid Mine Drainage 2010484004,INCOMPLETE
M00102,Ergocalciferol biosynthesis,Acid Mine Drainage 2010484004,INCOMPLETE
M00103,Cholecalciferol biosynthesis,Acid Mine Drainage 2010484004,INCOMPLETE
M00104,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",Acid Mine Drainage 2010484004,INCOMPLETE
M00106,"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate",Acid Mine Drainage 2010484004,INCOMPLETE
M00107,"Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone",Acid Mine Drainage 2010484004,INCOMPLETE
M00108,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone",Acid Mine Drainage 2010484004,INCOMPLETE
M00109,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone",Acid Mine Drainage 2010484004,INCOMPLETE
M00110,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone",Acid Mine Drainage 2010484004,INCOMPLETE
M00112,Tocopherol/tocotorienol biosynthesis,Acid Mine Drainage 2010484004,INCOMPLETE
M00113,Jasmonic acid biosynthesis,Acid Mine Drainage 2010484004,INCOMPLETE
M00114,"Ascorbate biosynthesis, plants, glucose-6P => ascorbate",Acid Mine Drainage 2010484004,INCOMPLETE
M00115,"NAD biosynthesis, aspartate => NAD",Acid Mine Drainage 2010484004,INCOMPLETE
M00116,"Menaquinone biosynthesis, chorismate => menaquinol",Acid Mine Drainage 2010484004,INCOMPLETE
M00117,"Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone",Acid Mine Drainage 2010484004,INCOMPLETE
M00118,"Glutathione biosynthesis, glutamate => glutathione",Acid Mine Drainage 2010484004,INCOMPLETE
M00119,"Pantothenate biosynthesis, valine/L-aspartate => pantothenate",Acid Mine Drainage 2010484004,INCOMPLETE
M00120,"Coenzyme A biosynthesis, pantothenate => CoA",Acid Mine Drainage 2010484004,INCOMPLETE
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme",Acid Mine Drainage 2010484004,INCOMPLETE
M00122,"Cobalamin biosynthesis, cobinamide => cobalamin",Acid Mine Drainage 2010484004,INCOMPLETE
M00123,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",Acid Mine Drainage 2010484004,INCOMPLETE
M00124,"Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P",Acid Mine Drainage 2010484004,INCOMPLETE
M00125,"Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD",Acid Mine Drainage 2010484004,INCOMPLETE
M00126,"Tetrahydrofolate biosynthesis, GTP => THF",Acid Mine Drainage 2010484004,INCOMPLETE
M00127,"Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P",Acid Mine Drainage 2010484004,INCOMPLETE
M00128,"Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone",Acid Mine Drainage 2010484004,INCOMPLETE
M00129,"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",Acid Mine Drainage 2010484004,INCOMPLETE
M00130,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",Acid Mine Drainage 2010484004,INCOMPLETE
M00131,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",Acid Mine Drainage 2010484004,INCOMPLETE
M00132,"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate",Acid Mine Drainage 2010484004,INCOMPLETE
M00133,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine",Acid Mine Drainage 2010484004,INCOMPLETE
M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine",Acid Mine Drainage 2010484004,COMPLETE
M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA",Acid Mine Drainage 2010484004,INCOMPLETE
M00136,"GABA biosynthesis, prokaryotes, putrescine => GABA",Acid Mine Drainage 2010484004,INCOMPLETE
M00137,"Flavanone biosynthesis, phenylalanine => naringenin",Acid Mine Drainage 2010484004,INCOMPLETE
M00138,"Flavonoid biosynthesis, naringenin => pelargonidin",Acid Mine Drainage 2010484004,INCOMPLETE
M00140,"C1-unit interconversion, prokaryotes",Acid Mine Drainage 2010484004,INCOMPLETE
M00141,"C1-unit interconversion, eukaryotes",Acid Mine Drainage 2010484004,INCOMPLETE
M00142,"NADH:ubiquinone oxidoreductase, mitochondria",Acid Mine Drainage 2010484004,INCOMPLETE
M00143,"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",Acid Mine Drainage 2010484004,INCOMPLETE
M00144,"NADH:quinone oxidoreductase, prokaryotes",Acid Mine Drainage 2010484004,INCOMPLETE
M00145,"NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria",Acid Mine Drainage 2010484004,INCOMPLETE
M00146,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,Acid Mine Drainage 2010484004,INCOMPLETE
M00147,NADH dehydrogenase (ubiquinone) 1 beta subcomplex,Acid Mine Drainage 2010484004,INCOMPLETE
M00148,Succinate dehydrogenase (ubiquinone),Acid Mine Drainage 2010484004,INCOMPLETE
M00149,"Succinate dehydrogenase, prokaryotes",Acid Mine Drainage 2010484004,INCOMPLETE
M00150,"Fumarate reductase, prokaryotes",Acid Mine Drainage 2010484004,INCOMPLETE
M00151,Cytochrome bc1 complex respiratory unit,Acid Mine Drainage 2010484004,INCOMPLETE
M00152,Cytochrome bc1 complex,Acid Mine Drainage 2010484004,INCOMPLETE
M00153,Cytochrome bd ubiquinol oxidase,Acid Mine Drainage 2010484004,INCOMPLETE
M00154,Cytochrome c oxidase,Acid Mine Drainage 2010484004,INCOMPLETE
M00155,"Cytochrome c oxidase, prokaryotes",Acid Mine Drainage 2010484004,INCOMPLETE
M00156,"Cytochrome c oxidase, cbb3-type",Acid Mine Drainage 2010484004,INCOMPLETE
M00157,"F-type ATPase, prokaryotes and chloroplasts",Acid Mine Drainage 2010484004,INCOMPLETE
M00158,"F-type ATPase, eukaryotes",Acid Mine Drainage 2010484004,INCOMPLETE
M00159,"V/A-type ATPase, prokaryotes",Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00160,"V-type ATPase, eukaryotes",Acid Mine Drainage 2010484004,INCOMPLETE
M00161,Photosystem II,Acid Mine Drainage 2010484004,INCOMPLETE
M00162,Cytochrome b6f complex,Acid Mine Drainage 2010484004,INCOMPLETE
M00163,Photosystem I,Acid Mine Drainage 2010484004,INCOMPLETE
M00165,Reductive pentose phosphate cycle (Calvin cycle),Acid Mine Drainage 2010484004,INCOMPLETE
M00166,"Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P",Acid Mine Drainage 2010484004,INCOMPLETE
M00167,"Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P",Acid Mine Drainage 2010484004,INCOMPLETE
M00168,"CAM (Crassulacean acid metabolism), dark",Acid Mine Drainage 2010484004,INCOMPLETE
M00169,"CAM (Crassulacean acid metabolism), light",Acid Mine Drainage 2010484004,COMPLETE
M00170,"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type",Acid Mine Drainage 2010484004,INCOMPLETE
M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type",Acid Mine Drainage 2010484004,INCOMPLETE
M00172,"C4-dicarboxylic acid cycle, NADP - malic enzyme type",Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00173,Reductive citrate cycle (Arnon-Buchanan cycle),Acid Mine Drainage 2010484004,INCOMPLETE
M00174,"Methane oxidation, methanotroph, methane => formaldehyde",Acid Mine Drainage 2010484004,INCOMPLETE
M00175,"Nitrogen fixation, nitrogen => ammonia",Acid Mine Drainage 2010484004,INCOMPLETE
M00176,"Assimilatory sulfate reduction, sulfate => H2S",Acid Mine Drainage 2010484004,INCOMPLETE
M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA",Acid Mine Drainage 2010484004,INCOMPLETE
M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",Acid Mine Drainage 2010484004,INCOMPLETE
M00309,"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate",Acid Mine Drainage 2010484004,INCOMPLETE
M00338,"Cysteine biosynthesis, homocysteine + serine => cysteine",Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00344,"Formaldehyde assimilation, xylulose monophosphate pathway",Acid Mine Drainage 2010484004,INCOMPLETE
M00345,"Formaldehyde assimilation, ribulose monophosphate pathway",Acid Mine Drainage 2010484004,INCOMPLETE
M00346,"Formaldehyde assimilation, serine pathway",Acid Mine Drainage 2010484004,INCOMPLETE
M00356,"Methanogenesis, methanol => methane",Acid Mine Drainage 2010484004,INCOMPLETE
M00357,"Methanogenesis, acetate => methane",Acid Mine Drainage 2010484004,INCOMPLETE
M00358,Coenzyme M biosynthesis,Acid Mine Drainage 2010484004,INCOMPLETE
M00363,"EHEC pathogenicity signature, Shiga toxin",Acid Mine Drainage 2010484004,INCOMPLETE
M00364,"C10-C20 isoprenoid biosynthesis, bacteria",Acid Mine Drainage 2010484004,INCOMPLETE
M00365,"C10-C20 isoprenoid biosynthesis, archaea",Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00366,"C10-C20 isoprenoid biosynthesis, plants",Acid Mine Drainage 2010484004,INCOMPLETE
M00367,"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes",Acid Mine Drainage 2010484004,COMPLETE
M00368,"Ethylene biosynthesis, methionine => ethylene",Acid Mine Drainage 2010484004,INCOMPLETE
M00369,"Cyanogenic glycoside biosynthesis, tyrosine => dhurrin",Acid Mine Drainage 2010484004,INCOMPLETE
M00370,"Glucosinolate biosynthesis, tryptophan => glucobrassicin",Acid Mine Drainage 2010484004,INCOMPLETE
M00371,"Castasterone biosynthesis, campesterol => castasterone",Acid Mine Drainage 2010484004,INCOMPLETE
M00372,"Abscisic acid biosynthesis, beta-carotene => abscisic acid",Acid Mine Drainage 2010484004,INCOMPLETE
M00373,Ethylmalonyl pathway,Acid Mine Drainage 2010484004,INCOMPLETE
M00374,Dicarboxylate-hydroxybutyrate cycle,Acid Mine Drainage 2010484004,INCOMPLETE
M00375,Hydroxypropionate-hydroxybutylate cycle,Acid Mine Drainage 2010484004,INCOMPLETE
M00376,3-Hydroxypropionate bi-cycle,Acid Mine Drainage 2010484004,INCOMPLETE
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),Acid Mine Drainage 2010484004,INCOMPLETE
M00378,F420 biosynthesis,Acid Mine Drainage 2010484004,INCOMPLETE
M00415,Fatty acid elongation in endoplasmic reticulum,Acid Mine Drainage 2010484004,INCOMPLETE
M00416,Cytochrome aa3-600 menaquinol oxidase,Acid Mine Drainage 2010484004,INCOMPLETE
M00417,Cytochrome o ubiquinol oxidase,Acid Mine Drainage 2010484004,INCOMPLETE
M00418,"Toluene degradation, anaerobic, toluene => benzoyl-CoA",Acid Mine Drainage 2010484004,INCOMPLETE
M00419,"Cymene degradation, p-cymene => p-cumate",Acid Mine Drainage 2010484004,INCOMPLETE
M00422,"Acetyl-CoA pathway, CO2 => acetyl-CoA",Acid Mine Drainage 2010484004,INCOMPLETE
M00432,"Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate",Acid Mine Drainage 2010484004,COMPLETE
M00433,"Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate",Acid Mine Drainage 2010484004,INCOMPLETE
M00525,"Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine",Acid Mine Drainage 2010484004,INCOMPLETE
M00526,"Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine",Acid Mine Drainage 2010484004,INCOMPLETE
M00527,"Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine",Acid Mine Drainage 2010484004,INCOMPLETE
M00528,"Nitrification, ammonia => nitrite",Acid Mine Drainage 2010484004,INCOMPLETE
M00529,"Denitrification, nitrate => nitrogen",Acid Mine Drainage 2010484004,INCOMPLETE
M00530,"Dissimilatory nitrate reduction, nitrate => ammonia",Acid Mine Drainage 2010484004,INCOMPLETE
M00531,"Assimilatory nitrate reduction, nitrate => ammonia",Acid Mine Drainage 2010484004,INCOMPLETE
M00532,Photorespiration,Acid Mine Drainage 2010484004,INCOMPLETE
M00533,"Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate",Acid Mine Drainage 2010484004,INCOMPLETE
M00534,"Naphthalene degradation, naphthalene => salicylate",Acid Mine Drainage 2010484004,INCOMPLETE
M00535,"Isoleucine biosynthesis, pyruvate => 2-oxobutanoate",Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00537,"Xylene degradation, xylene => methylbenzoate",Acid Mine Drainage 2010484004,INCOMPLETE
M00538,"Toluene degradation, toluene => benzoate",Acid Mine Drainage 2010484004,INCOMPLETE
M00539,"Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate",Acid Mine Drainage 2010484004,INCOMPLETE
M00540,"Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA",Acid Mine Drainage 2010484004,INCOMPLETE
M00541,"Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA",Acid Mine Drainage 2010484004,INCOMPLETE
M00542,"EHEC/EPEC pathogenicity signature, T3SS and effectors",Acid Mine Drainage 2010484004,INCOMPLETE
M00543,"Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate",Acid Mine Drainage 2010484004,INCOMPLETE
M00544,"Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate",Acid Mine Drainage 2010484004,INCOMPLETE
M00545,"Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA",Acid Mine Drainage 2010484004,INCOMPLETE
M00546,"Purine degradation, xanthine => urea",Acid Mine Drainage 2010484004,INCOMPLETE
M00547,"Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol",Acid Mine Drainage 2010484004,INCOMPLETE
M00548,"Benzene degradation, benzene => catechol",Acid Mine Drainage 2010484004,INCOMPLETE
M00549,"Nucleotide sugar biosynthesis, glucose => UDP-glucose",Acid Mine Drainage 2010484004,INCOMPLETE
M00550,"Ascorbate degradation, ascorbate => D-xylulose-5P",Acid Mine Drainage 2010484004,INCOMPLETE
M00551,"Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol",Acid Mine Drainage 2010484004,INCOMPLETE
M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P",Acid Mine Drainage 2010484004,INCOMPLETE
M00554,"Nucleotide sugar biosynthesis, galactose => UDP-galactose",Acid Mine Drainage 2010484004,INCOMPLETE
M00555,"Betaine biosynthesis, choline => betaine",Acid Mine Drainage 2010484004,INCOMPLETE
M00563,"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",Acid Mine Drainage 2010484004,INCOMPLETE
M00564,"Helicobacter pylori pathogenicity signature, cagA pathogenicity island",Acid Mine Drainage 2010484004,INCOMPLETE
M00565,"Trehalose biosynthesis, D-glucose 1P => trehalose",Acid Mine Drainage 2010484004,INCOMPLETE
M00567,"Methanogenesis, CO2 => methane",Acid Mine Drainage 2010484004,INCOMPLETE
M00568,"Catechol ortho-cleavage, catechol => 3-oxoadipate",Acid Mine Drainage 2010484004,INCOMPLETE
M00569,"Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",Acid Mine Drainage 2010484004,INCOMPLETE
M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",Acid Mine Drainage 2010484004,INCOMPLETE
M00572,"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP",Acid Mine Drainage 2010484004,INCOMPLETE
M00573,"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin",Acid Mine Drainage 2010484004,INCOMPLETE
M00574,"Pertussis pathogenicity signature, pertussis toxin",Acid Mine Drainage 2010484004,INCOMPLETE
M00575,"Pertussis pathogenicity signature, T1SS",Acid Mine Drainage 2010484004,INCOMPLETE
M00576,"ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins",Acid Mine Drainage 2010484004,INCOMPLETE
M00577,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin",Acid Mine Drainage 2010484004,INCOMPLETE
M00579,"Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate",Acid Mine Drainage 2010484004,INCOMPLETE
M00580,"Pentose phosphate pathway, archaea, fructose 6P => ribose 5P",Acid Mine Drainage 2010484004,INCOMPLETE
M00595,"Thiosulfate oxidation by SOX complex, thiosulfate => sulfate",Acid Mine Drainage 2010484004,INCOMPLETE
M00596,"Dissimilatory sulfate reduction, sulfate => H2S",Acid Mine Drainage 2010484004,INCOMPLETE
M00597,Anoxygenic photosystem II,Acid Mine Drainage 2010484004,INCOMPLETE
M00598,Anoxygenic photosystem I,Acid Mine Drainage 2010484004,INCOMPLETE
M00608,"2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate",Acid Mine Drainage 2010484004,INCOMPLETE
