Module_id,Completeness,AM.P1.D,AM.P1.R ,AM.P2.D,AM.P2.R,TIA.P1.D ,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D ,TI.P2.R ,TI.P3.D,TI.P3.R,TI.P4.D ,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R 
M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00012,Glyoxylate cycle,COMPLETE,COMPLETE,INCOMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00014,Glucuronate pathway (uronate pathway),INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00015,"Proline biosynthesis, glutamate => proline",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00016,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE
M00017,"Methionine biosynthesis, apartate => homoserine => methionine",COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING
M00018,"Threonine biosynthesis, aspartate => homoserine => threonine",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00019,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00020,"Serine biosynthesis, glycerate-3P => serine",COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE
M00021,"Cysteine biosynthesis, serine => cysteine",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE
M00022,"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,INCOMPLETE,COMPLETE,COMPLETE,COMPLETE
M00023,"Tryptophan biosynthesis, chorismate => tryptophan",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,INCOMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE
M00024,"Phenylalanine biosynthesis, chorismate => phenylalanine",COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE
M00025,"Tyrosine biosynthesis, chorismate => tyrosine",COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE
M00026,"Histidine biosynthesis, PRPP => histidine",COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,INCOMPLETE,COMPLETE,COMPLETE,COMPLETE
M00027,GABA (gamma-Aminobutyrate) shunt,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING
M00028,"Ornithine biosynthesis, glutamate => ornithine",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00029,Urea cycle,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00030,"Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00031,"Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE
M00032,"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00033,"Ectoine biosynthesis, aspartate => ectoine",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00034,Methionine salvage pathway,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00035,Methionine degradation,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,INCOMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING
M00036,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE
M00037,"Melatonin biosynthesis, tryptophan => serotonin => melatonin",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00038,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00039,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00040,"Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine",COMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE
M00042,"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00043,"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00044,"Tyrosine degradation, tyrosine => homogentisate",1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,INCOMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING
M00047,Creatine pathway,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE
M00048,"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00050,"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE
M00051,"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00053,"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,COMPLETE,INCOMPLETE,COMPLETE,COMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING
M00055,N-glycan precursor biosynthesis,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00056,"O-glycan biosynthesis, mucin type core",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00057,"Glycosaminoglycan biosynthesis, linkage tetrasaccharide",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00058,"Glycosaminoglycan biosynthesis, chondroitin sulfate backbone",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00059,"Glycosaminoglycan biosynthesis, heparan sulfate backbone",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00060,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00061,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00063,CMP-KDO biosynthesis,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE
M00064,ADP-L-glycero-D-manno-heptose biosynthesis,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00065,"GPI-anchor biosynthesis, core oligosaccharide",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00066,Lactosylceramide biosynthesis,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00067,"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00068,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00069,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00070,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
