MAG,archive,record_id,region_number,start,end,products,rules,type
MAG.26,antismash/bin.26.strict.metawrap.zip,NODE_235_length_5270_cov_2.330252,,0,5270,terpene,,
MAG.26,antismash/bin.26.strict.metawrap.zip,NODE_346_length_3258_cov_1.992455,,0,3258,terpene-precursor,,
MAG.27,antismash/bin.27.orig.metawrap.repaired.zip,NODE_14556_length_3680_cov_3.412138,,0,3680,terpene,,
MAG.27,antismash/bin.27.orig.metawrap.repaired.zip,NODE_82893_length_1565_cov_3.729801,,0,1565,terpene,,
MAG.27,antismash/bin.27.orig.metawrap.repaired.zip,NODE_94717_length_1469_cov_1.729844,,0,1469,terpene-precursor,,
MAG.28,antismash/bin.28.orig.metawrap.3.repaired.zip,NODE_14713_length_3659_cov_4.237236,,0,3659,terpene-precursor,,
MAG.28,antismash/bin.28.orig.metawrap.3.repaired.zip,NODE_39043_length_2247_cov_4.657391,,0,2247,terpene-precursor,,
MAG.28,antismash/bin.28.orig.metawrap.repaired.zip,NODE_14713_length_3659_cov_4.237236,,0,3659,terpene-precursor,,
MAG.28,antismash/bin.28.orig.metawrap.repaired.zip,NODE_39043_length_2247_cov_4.657391,,0,2247,terpene-precursor,,
MAG.29,antismash/bin.29.orig.metawrap.repaired.zip,NODE_185580_length_1066_cov_1.806133,,0,1066,terpene-precursor,,
MAG.30,antismash/bin.30.orig.metawrap.repaired.zip,NODE_388_length_18916_cov_5.413817,,0,18916,terpene,,
MAG.30,antismash/bin.30.orig.metawrap.repaired.zip,NODE_17202_length_3384_cov_4.873536,,0,3384,nucleoside,,
MAG.31,antismash/bin.31.strict.metawrap.repaired.zip,NODE_61_length_7970_cov_2.616116,,0,7970,betalactone,,
MAG.31,antismash/bin.31.strict.metawrap.repaired.zip,NODE_203_length_2910_cov_3.256618,,0,2910,terpene-precursor,,
MAG.33,antismash/bin.33.permissive.metawrap.1.repaired.zip,NODE_28_length_5337_cov_1.773004,,0,5337,terpene-precursor,,
MAG.33,antismash/bin.33.permissive.metawrap.1.repaired.zip,NODE_220_length_3047_cov_2.261279,,0,3047,terpene,,
MAG.33,antismash/bin.33.permissive.metawrap.1.repaired.zip,NODE_472_length_2249_cov_1.627993,,0,2249,terpene,,
MAG.34,antismash/bin.34.permissive.metawrap.repaired.zip,NODE_4_length_20628_cov_3.075665,6564,6564,20628,lassopeptide,,
MAG.34,antismash/bin.34.permissive.metawrap.repaired.zip,NODE_8_length_17528_cov_3.212194,,0,17528,terpene-precursor,,
MAG.34,antismash/bin.34.permissive.metawrap.repaired.zip,NODE_41_length_11976_cov_2.822674,,0,11976,terpene,,
MAG.34,antismash/bin.34.permissive.metawrap.repaired.zip,NODE_102_length_8521_cov_3.947655,,0,8521,terpene,,
MAG.34,antismash/bin.34.permissive.metawrap.repaired.zip,NODE_105_length_8485_cov_3.112155,,0,8485,T3PKS,,
MAG.34,antismash/bin.34.permissive.metawrap.repaired.zip,NODE_128_length_7869_cov_3.135267,,0,7869,NRPS-like,,
MAG.34,antismash/bin.34.permissive.metawrap.repaired.zip,NODE_187_length_6555_cov_3.354893,,0,6555,T1PKS,,
MAG.34,antismash/bin.34.permissive.metawrap.repaired.zip,NODE_405_length_4117_cov_2.850000,,0,4117,terpene,,
MAG.34,antismash/bin.34.permissive.metawrap.repaired.zip,NODE_461_length_3608_cov_3.781365,,0,3608,CDPS,,
MAG.34,antismash/bin.34.permissive.metawrap.repaired.zip,NODE_656_length_2505_cov_2.686573,,0,2505,NRPS-like,,
MAG.34,antismash/bin.34.permissive.metawrap.repaired.zip,NODE_927_length_1546_cov_2.885636,,0,1546,NRPS,,
MAG.35,antismash/bin.35.strict.metawrap.1.repaired.zip,NODE_26_length_18041_cov_2.640225,3451,3451,18041,RRE-containing,,
MAG.35,antismash/bin.35.strict.metawrap.1.repaired.zip,NODE_63_length_13568_cov_2.790305,,0,13010,terpene-precursor,,
MAG.35,antismash/bin.35.strict.metawrap.1.repaired.zip,NODE_106_length_10498_cov_1.873237,,0,10498,lanthipeptide-class-ii,,
MAG.35,antismash/bin.35.strict.metawrap.1.repaired.zip,NODE_184_length_7341_cov_3.225633,,0,7341,T3PKS,,
MAG.35,antismash/bin.35.strict.metawrap.1.repaired.zip,NODE_221_length_6512_cov_3.251748,,0,6512,RRE-containing,,
MAG.35,antismash/bin.35.strict.metawrap.1.repaired.zip,NODE_224_length_6479_cov_2.086223,,0,6479,NRPS-like,,
MAG.35,antismash/bin.35.strict.metawrap.1.repaired.zip,NODE_236_length_6227_cov_3.179512,,0,6227,terpene,,
MAG.35,antismash/bin.35.strict.metawrap.1.repaired.zip,NODE_244_length_6085_cov_3.130992,,0,6085,NRPS-like,,
MAG.35,antismash/bin.35.strict.metawrap.1.repaired.zip,NODE_255_length_5906_cov_2.661692,,0,5906,redox-cofactor,,
MAG.35,antismash/bin.35.strict.metawrap.1.repaired.zip,NODE_410_length_3606_cov_2.956362,,0,3606,terpene,,
MAG.36,antismash/bin.36.orig.metawrap.4.repaired.zip,NODE_13880_length_3770_cov_3.857604,,0,3770,terpene-precursor,,
MAG.36,antismash/bin.36.orig.metawrap.4.repaired.zip,NODE_82656_length_1567_cov_3.922619,,0,1567,terpene-precursor,,
MAG.37,antismash/bin.37.orig.metawrap.1.repaired.zip,NODE_23_length_52068_cov_32.541768,13399,13399,34518,terpene-precursor,,
MAG.37,antismash/bin.37.orig.metawrap.1.repaired.zip,NODE_2817_length_8218_cov_31.307730,,0,8218,terpene,,
MAG.38,antismash/bin.38.permissive.metawrap.1.repaired.zip,NODE_35_length_7274_cov_1.757572,,0,7274,terpene-precursor,,
MAG.39,antismash/bin.39.permissive.metawrap.1.repaired.zip,NODE_22_length_12479_cov_1.907999,,0,12479,terpene-precursor,,
MAG.4,antismash/bin.4.zip,NODE_3652_length_7263_cov_3.878607,,0,7263,ranthipeptide,,
MAG.4,antismash/bin.4.zip,NODE_3654_length_7262_cov_3.609824,,0,7262,terpene,,
MAG.4,antismash/bin.4.zip,NODE_7776_length_5033_cov_3.716754,,0,5033,terpene-precursor,,
MAG.4,antismash/bin.4.zip,NODE_15154_length_3603_cov_3.662627,,0,3603,NRPS-like,,
MAG.4,antismash/bin.4.zip,NODE_18624_length_3251_cov_2.741552,,0,3251,RiPP-like,,
MAG.4,antismash/bin.4.zip,NODE_52884_length_1942_cov_3.603074,,0,1942,NRPS-like,,
MAG.4,antismash/bin.4.zip,NODE_77781_length_1614_cov_3.728672,,0,1614,T3PKS,,
MAG.40,antismash/bin.40.orig.metawrap.repaired.zip,NODE_1840_length_9928_cov_6.147270,,0,9928,terpene,,
MAG.40,antismash/bin.40.orig.metawrap.repaired.zip,NODE_3156_length_7827_cov_6.287442,,0,7827,ladderane,,
MAG.40,antismash/bin.40.orig.metawrap.repaired.zip,NODE_7057_length_5268_cov_7.026856,,0,5268,terpene-precursor,,
MAG.40,antismash/bin.40.orig.metawrap.repaired.zip,NODE_8218_length_4905_cov_6.625979,,0,4905,betalactone,,
MAG.40,antismash/bin.40.orig.metawrap.repaired.zip,NODE_17649_length_3337_cov_6.138940,,0,3337,arylpolyene,,
MAG.40,antismash/bin.40.orig.metawrap.repaired.zip,NODE_18939_length_3223_cov_6.250947,,0,3223,ranthipeptide,,
MAG.40,antismash/bin.40.orig.metawrap.repaired.zip,NODE_24533_length_2823_cov_5.278179,,0,2823,ranthipeptide,,
MAG.41,antismash/bin.41.permissive.metawrap.repaired.zip,NODE_15_length_13837_cov_2.619695,,0,13837,terpene-precursor,,
MAG.41,antismash/bin.41.permissive.metawrap.repaired.zip,NODE_48_length_9742_cov_2.426487,,0,9742,betalactone,,
MAG.42,antismash/bin.42.orig.metawrap.repaired.zip,NODE_8879_length_4726_cov_3.950760,,0,4726,terpene-precursor,,
MAG.43,antismash/bin.43.strict.metawrap.repaired.zip,NODE_8_length_17153_cov_1.367475,,0,17153,terpene,,
MAG.43,antismash/bin.43.strict.metawrap.repaired.zip,NODE_24_length_13122_cov_1.432656,,0,13122,NRPS-like,,
MAG.43,antismash/bin.43.strict.metawrap.repaired.zip,NODE_42_length_11041_cov_1.147574,,0,11041,NRPS-like; T3PKS,,
MAG.43,antismash/bin.43.strict.metawrap.repaired.zip,NODE_79_length_8665_cov_1.123777,,0,8665,terpene-precursor,,
MAG.43,antismash/bin.43.strict.metawrap.repaired.zip,NODE_131_length_6775_cov_1.783401,,0,6775,NRPS-like,,
MAG.43,antismash/bin.43.strict.metawrap.repaired.zip,NODE_343_length_3586_cov_1.967521,,0,3586,ranthipeptide,,
MAG.45,antismash/bin.45.permissive.metawrap.repaired.zip,NODE_29_length_15804_cov_3.045145,196,196,15804,terpene-precursor,,
MAG.45,antismash/bin.45.permissive.metawrap.repaired.zip,NODE_49_length_12780_cov_2.619145,,0,12780,NRPS-like,,
MAG.46,antismash/bin.46.orig.metawrap.repaired.zip,NODE_420_length_18240_cov_5.981468,,0,13436,terpene-precursor,,
MAG.46,antismash/bin.46.orig.metawrap.repaired.zip,NODE_10104_length_4430_cov_4.900571,,0,4430,terpene-precursor,,
MAG.48,antismash/bin.48.orig.metawrap.repaired.zip,NODE_24906_length_2801_cov_4.092134,,0,2801,terpene-precursor,,
MAG.5,antismash/bin.5.zip,NODE_1776_length_10103_cov_4.572253,,0,10103,terpene-precursor,,
MAG.5,antismash/bin.5.zip,NODE_38277_length_2269_cov_4.246161,,0,2269,terpene-precursor,,
MAG.50,antismash/bin.50.orig.metawrap.repaired.zip,NODE_25484_length_2770_cov_3.186372,,0,2770,lanthipeptide-class-v,,
MAG.6,antismash/bin.6.zip,NODE_1003_length_12992_cov_4.293963,,0,11113,terpene-precursor,,
MAG.6,antismash/bin.6.zip,NODE_2478_length_8696_cov_3.824442,,0,8696,terpene-precursor,,
MAG.7,antismash/bin.7.zip,NODE_4_length_89084_cov_13.679037,,0,15778,terpene-precursor,,
MAG.7,antismash/bin.7.zip,NODE_29_length_50903_cov_12.218868,,0,16246,betalactone,,
MAG.7,antismash/bin.7.zip,NODE_88_length_33983_cov_13.293858,,0,24134,T3PKS,,
MAG.7,antismash/bin.7.zip,NODE_1571_length_10679_cov_15.011389,,0,10679,terpene-precursor,,
MAG.8,antismash/bin.8.zip,NODE_387_length_18920_cov_4.604453,,0,17175,terpene-precursor,,
MAG.8,antismash/bin.8.zip,NODE_3803_length_7116_cov_4.415947,,0,7116,redox-cofactor,,
MAG.8,antismash/bin.8.zip,NODE_4503_length_6546_cov_4.779079,,0,6546,terpene,,
MAG.8,antismash/bin.8.zip,NODE_6983_length_5293_cov_4.531691,,0,5293,NAPAA,,
MAG.8,antismash/bin.8.zip,NODE_12927_length_3913_cov_3.147486,,0,3913,terpene,,
MAG.8,antismash/bin.8.zip,NODE_13624_length_3808_cov_5.660538,,0,3808,triceptide,,
MAG.8,antismash/bin.8.zip,NODE_17792_length_3325_cov_4.061468,,0,3325,RRE-containing,,
MAG.9,antismash/bin.9.zip,NODE_280_length_21721_cov_6.557556,,0,21721,T3PKS,,
MAG.9,antismash/bin.9.zip,NODE_383_length_18990_cov_6.541431,11541,11541,18990,RiPP-like,,
MAG.9,antismash/bin.9.zip,NODE_672_length_15314_cov_5.952290,,0,15314,NRPS-like,,
MAG.9,antismash/bin.9.zip,NODE_1182_length_12158_cov_6.294555,,0,12158,betalactone,,
MAG.9,antismash/bin.9.zip,NODE_1342_length_11568_cov_7.728655,,0,11568,betalactone,,
MAG.9,antismash/bin.9.zip,NODE_7853_length_5006_cov_6.094728,,0,5006,terpene-precursor,,
MAG.9,antismash/bin.9.zip,NODE_25366_length_2777_cov_3.578986,,0,2777,RiPP-like,,
