display_group,taxon,count_or_abundance,relative_abundance_percent,taxonomy_level,layer_filter,top_n,colour_hex,script,input_table
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Other taxa,2237,1.3698462367500903,Phylum,Metatranscriptomics,20,#D4A373,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Archaea:Halobacteriota,62,0.1257759565058628,Phylum,Metatranscriptomics,20,#F547E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Archaea:Thermoproteota,584,1.1847283645068365,Phylum,Metatranscriptomics,20,#ADB820,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Acidobacteriota,633,1.2841319430356637,Phylum,Metatranscriptomics,20,#C371E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Actinomycetota,5542,11.242747596056315,Phylum,Metatranscriptomics,20,#EAAD36,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Armatimonadota,147,0.2982107355864811,Phylum,Metatranscriptomics,20,#DF1A9F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Bacillota,491,0.9960644297480423,Phylum,Metatranscriptomics,20,#3AF345,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Bacillota_A,248,0.5031038260234512,Phylum,Metatranscriptomics,20,#D251BD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Bacillota_B,120,0.24343733517263763,Phylum,Metatranscriptomics,20,#609F27,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Bacteroidota,7187,14.579867732381224,Phylum,Metatranscriptomics,20,#BF5CD9,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Bdellovibrionota,231,0.46861687020732745,Phylum,Metatranscriptomics,20,#F0152E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Chloroflexota,2016,4.089747230900312,Phylum,Metatranscriptomics,20,#215EAD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Cyanobacteriota,1549,3.1423702681867978,Phylum,Metatranscriptomics,20,#CE7012,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Desulfobacterota,365,0.7404552278167729,Phylum,Metatranscriptomics,20,#0F12A1,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Gemmatimonadota,608,1.2334158315413641,Phylum,Metatranscriptomics,20,#A050DB,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Myxococcota,211,0.4280439810118879,Phylum,Metatranscriptomics,20,#BBEC20,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Nitrospirota,1368,2.775185620968069,Phylum,Metatranscriptomics,20,#16F78E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Planctomycetota,1639,3.324948269566276,Phylum,Metatranscriptomics,20,#20419F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Pseudomonadota,17966,36.4466263642634,Phylum,Metatranscriptomics,20,#59FAB4,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Bacteria:Verrucomicrobiota,7815,15.853856453118025,Phylum,Metatranscriptomics,20,#5BD6A6,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Superior,Other taxa,512,1.038665963403254,Phylum,Metatranscriptomics,20,#D4A373,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Archaea:Halobacteriota,61,0.3077699293642785,Phylum,Metatranscriptomics,20,#F547E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Archaea:Thermoproteota,94,0.4742684157416751,Phylum,Metatranscriptomics,20,#ADB820,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Acidobacteriota,32,0.16145307769929365,Phylum,Metatranscriptomics,20,#C371E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Actinomycetota,316,1.5943491422805247,Phylum,Metatranscriptomics,20,#EAAD36,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Armatimonadota,3,0.015136226034308779,Phylum,Metatranscriptomics,20,#DF1A9F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Bacillota,110,0.554994954591322,Phylum,Metatranscriptomics,20,#3AF345,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Bacillota_A,73,0.3683148335015136,Phylum,Metatranscriptomics,20,#D251BD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Bacillota_B,52,0.2623612512613521,Phylum,Metatranscriptomics,20,#609F27,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Bacteroidota,63,0.31786074672048437,Phylum,Metatranscriptomics,20,#BF5CD9,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Bdellovibrionota,2,0.010090817356205853,Phylum,Metatranscriptomics,20,#F0152E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Chloroflexota,25,0.12613521695257315,Phylum,Metatranscriptomics,20,#215EAD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Cyanobacteriota,82,0.41372351160443993,Phylum,Metatranscriptomics,20,#CE7012,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Desulfobacterota,183,0.9233097880928356,Phylum,Metatranscriptomics,20,#0F12A1,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Myxococcota,27,0.136226034308779,Phylum,Metatranscriptomics,20,#BBEC20,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Nitrospirota,11,0.055499495459132187,Phylum,Metatranscriptomics,20,#16F78E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Nitrospirota_A,16409,82.79011099899091,Phylum,Metatranscriptomics,20,#51F87D,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Planctomycetota,15,0.07568113017154389,Phylum,Metatranscriptomics,20,#20419F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Pseudomonadota,1514,7.638748738647831,Phylum,Metatranscriptomics,20,#59FAB4,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Bacteria:Verrucomicrobiota,18,0.09081735620585267,Phylum,Metatranscriptomics,20,#5BD6A6,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Other taxa,730,3.6831483350151366,Phylum,Metatranscriptomics,20,#D4A373,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
